가게 이름,업종구분,주소,URL
경성고기꾼,소고기구이,서울 동대문구 회기로21길 8 1층 경성고기꾼,https://pcmap.place.naver.com/restaurant/37362729/review/visitor#
양마담 청량리점,양갈비,서울 동대문구 홍릉로 14-1 1층,https://pcmap.place.naver.com/restaurant/1585394796/review/visitor#
남도보쌈파전,한식,서울 동대문구 장한로27가길 28 1층 남도보쌈파전,https://pcmap.place.naver.com/restaurant/1055934431/review/visitor#
안동집 손칼국시,"칼국수,만두",서울 동대문구 고산자로36길 3 신관 지하1층,https://pcmap.place.naver.com/restaurant/13575296/review/visitor#
장안동 먹깨비 간장게장 해물아구찜,게요리,서울 동대문구 장한로 92 1층,https://pcmap.place.naver.com/restaurant/946407916/review/visitor#
놀부만두,만두,서울 동대문구 망우로16길 15,https://pcmap.place.naver.com/restaurant/20691128/review/visitor#
봄의정원 회기점,양식,서울 동대문구 경희대로1길 35 봄의정원 회기점,https://pcmap.place.naver.com/restaurant/1576918937/review/visitor#
우뚝소곱창,"곱창,막창,양",서울 동대문구 장한로23길 21 1층,https://pcmap.place.naver.com/restaurant/1199870056/review/visitor#
소문난의정부부대찌개 고대점,"찌개,전골",서울 동대문구 안암로22길 5 소문난의정부부대찌개 고대점,https://pcmap.place.naver.com/restaurant/1101197134/review/visitor#
비엣꾸안 쌀국수,베트남음식,"서울 동대문구 회기로 135 1, 2층 비엣꾸안",https://pcmap.place.naver.com/restaurant/1308497525/review/visitor#
BK볏짚 우대갈비 장안동본점,"육류,고기요리",서울 동대문구 장한로26가길 29 1층 BK볏짚 우대갈비 장안동본점,https://pcmap.place.naver.com/restaurant/1056737789/review/visitor#
양지함박왕돈까스기사님식당,한식,서울 동대문구 장한로 194,https://pcmap.place.naver.com/restaurant/20842831/review/visitor#
두툼 장안본점,생선회,서울 동대문구 천호대로85길 32,https://pcmap.place.naver.com/restaurant/1387832591/review/visitor#
배꼽집 더 클래식,정육식당,서울 동대문구 왕산로 214 청량리역 커넥트플레이스 5층 501,https://pcmap.place.naver.com/restaurant/1303073086/review/visitor#
신라방마라탕 장안동맛집,마라탕,서울 동대문구 천호대로79길 66 1층,https://pcmap.place.naver.com/restaurant/1340393421/review/visitor#
제주육돈가 장한평역점,"육류,고기요리",서울 동대문구 장한로2길 41 1층,https://pcmap.place.naver.com/restaurant/1855136548/review/visitor#
봉이만두,중식당,서울 동대문구 망우로21길 40,https://pcmap.place.naver.com/restaurant/19882276/review/visitor#
최원석의돼지한판&서해쭈꾸미 시립대점,"육류,고기요리",서울 동대문구 전농로 222,https://pcmap.place.naver.com/restaurant/1004869182/review/visitor#
대한곱창 장안점,"곱창,막창,양",서울 동대문구 천호대로85길 21 동원빌딩 1층,https://pcmap.place.naver.com/restaurant/21692606/review/visitor#
훈,이자카야,서울 동대문구 안암로24길 15 1층,https://pcmap.place.naver.com/restaurant/1182347049/review/visitor#
짱구네 야끼만두,종합분식,서울 동대문구 경동시장로10길 45 짱구네,https://pcmap.place.naver.com/restaurant/1253449603/review/visitor#
등촌샤브칼국수 장한평역점,"칼국수,만두",서울 동대문구 장한로2길 36 1층 102호 등촌샤브칼국수 장한평역점,https://pcmap.place.naver.com/restaurant/1636634978/review/visitor#
삼복한방닭한마리 회기본점,"백숙,삼계탕",서울 동대문구 회기로16길 5-1 1층 삼복한방닭한마리,https://pcmap.place.naver.com/restaurant/1939514696/review/visitor#
한옥정,한식,서울 동대문구 답십리로 146-4,https://pcmap.place.naver.com/restaurant/32322984/review/visitor#
서울뼈구이 본점,"족발,보쌈",서울 동대문구 왕산로 274-1,https://pcmap.place.naver.com/restaurant/20881593/review/visitor#
고기야미안해,생선회,서울 동대문구 경희대로4길 20,https://pcmap.place.naver.com/restaurant/21086215/review/visitor#
장안라운지 본점,일식당,서울 동대문구 한천로2길 107 2층,https://pcmap.place.naver.com/restaurant/1968521178/review/visitor#
영화장,중식당,서울 동대문구 휘경로 3-8,https://pcmap.place.naver.com/restaurant/18119095/review/visitor#
청량리조개구이찜,조개요리,서울 동대문구 경동시장로10길 57,https://pcmap.place.naver.com/restaurant/1615058794/review/visitor#
상화정,샤브샤브,서울 동대문구 답십리로 27 상가동 2층 224호,https://pcmap.place.naver.com/restaurant/1089055248/review/visitor#
나정순할매쭈꾸미,주꾸미요리,서울 동대문구 무학로 144,https://pcmap.place.naver.com/restaurant/11829657/review/visitor#
봄담아 청량리점,샤브샤브,서울 동대문구 고산자로34길 70 청량리역 해링턴플레이스 B동 2층 216~219호,https://pcmap.place.naver.com/restaurant/1226072908/review/visitor#
총각회수산,생선회,서울 동대문구 홍릉로1길 27 청량리전통시장 나-5호,https://pcmap.place.naver.com/restaurant/33436041/review/visitor#
명륜진사갈비 서울장안점,"육류,고기요리",서울 동대문구 답십리로 240 1층,https://pcmap.place.naver.com/restaurant/1158678068/review/visitor#
경북손칼국수,"칼국수,만두",서울 동대문구 왕산로41길 4 경북손칼국수,https://pcmap.place.naver.com/restaurant/38010075/review/visitor#
은하곱창,"곱창,막창,양",서울 동대문구 전농로15길 22 은하곱창,https://pcmap.place.naver.com/restaurant/37749827/review/visitor#
마장축산 정육식당,"육류,고기요리",서울 동대문구 사가정로 207 1층,https://pcmap.place.naver.com/restaurant/1519339298/review/visitor#
경동연탄돼지갈비,돼지고기구이,서울 동대문구 약령서1길 34,https://pcmap.place.naver.com/restaurant/38008352/review/visitor#
어머니대성집,한식,서울 동대문구 왕산로11길 4,https://pcmap.place.naver.com/restaurant/11623967/review/visitor#
혜성칼국수,"칼국수,만두",서울 동대문구 왕산로 247-1,https://pcmap.place.naver.com/restaurant/11626056/review/visitor#
육전식당 1호점,"육류,고기요리",서울 동대문구 난계로30길 16,https://pcmap.place.naver.com/restaurant/32699872/review/visitor#
일미간장게장,게요리,서울 동대문구 장한로24길 7,https://pcmap.place.naver.com/restaurant/13182359/review/visitor#
한상차림밥상,한식,서울 동대문구 한빛로 28 1층,https://pcmap.place.naver.com/restaurant/1727721533/review/visitor#
현덕육회,한식,서울 동대문구 왕산로35길 37 현덕육회,https://pcmap.place.naver.com/restaurant/1468599420/review/visitor#
보승회관 장한평역점,국밥,서울 동대문구 장한로 29 1층,https://pcmap.place.naver.com/restaurant/1577057813/review/visitor#
정편백 청량리본점,"육류,고기요리",서울 동대문구 서울시립대로12길 3 1층,https://pcmap.place.naver.com/restaurant/1886431806/review/visitor#
백순오 간장게장,게요리,서울 동대문구 전농로3길 62 1층,https://pcmap.place.naver.com/restaurant/1184439147/review/visitor#
거복이식당,돼지고기구이,서울 동대문구 경희대로3길 6,https://pcmap.place.naver.com/restaurant/1770334939/review/visitor#
King수제만두,중식당,서울 동대문구 한빛로 3 1층,https://pcmap.place.naver.com/restaurant/1136116147/review/visitor#
회기왕족발보쌈,"족발,보쌈",서울 동대문구 회기로 158,https://pcmap.place.naver.com/restaurant/12043371/review/visitor#
컴투레스트,"카페,디저트",서울 동대문구 회기로 161-11 1층,https://pcmap.place.naver.com/restaurant/1168660167/review/visitor#
극락돈 회기점,소고기구이,서울 동대문구 회기로28길 8 2층,https://pcmap.place.naver.com/restaurant/36615008/review/visitor#
독립밀방 청량리,양식,서울 동대문구 왕산로 214 청량리역사 3층 308호,https://pcmap.place.naver.com/restaurant/1293423427/review/visitor#
오소록 답십리점,국수,서울 동대문구 전농로3길 1-2 1층,https://pcmap.place.naver.com/restaurant/1899841159/review/visitor#
레알라면,라면,서울 동대문구 회기로25길 23-5 1층 레알라면,https://pcmap.place.naver.com/restaurant/31076674/review/visitor#
대명수산,"해물,생선요리",서울 동대문구 장한로9길 8,https://pcmap.place.naver.com/restaurant/12069209/review/visitor#
역대짬뽕 본점,중식당,서울 동대문구 천호대로 393 1층,https://pcmap.place.naver.com/restaurant/1542530224/review/visitor#
너디블루,"카페,디저트","서울 동대문구 전농로36길 9 1층, 2층 너디블루",https://pcmap.place.naver.com/restaurant/81033019/review/visitor#
언니네함바그,양식,서울 동대문구 회기로25길 59 1층 언니네함바그,https://pcmap.place.naver.com/restaurant/1131653029/review/visitor#
알리고,이탈리아음식,서울 동대문구 천호대로27길 8-2 1층,https://pcmap.place.naver.com/restaurant/1460837335/review/visitor#
청량회관,요리주점,"서울 동대문구 서울시립대로 164 지하 1층 (LS타워, 도석프라자)",https://pcmap.place.naver.com/restaurant/1050979600/review/visitor#
요집가먹으러,한식,서울 동대문구 왕산로 183,https://pcmap.place.naver.com/restaurant/1929769448/review/visitor#
굿갓레스토랑 회기직영점,이탈리아음식,서울 동대문구 회기로19길 12 1층,https://pcmap.place.naver.com/restaurant/1096198166/review/visitor#
몽월 장안본점,요리주점,서울 동대문구 천호대로83길 3 10층,https://pcmap.place.naver.com/restaurant/1481143369/review/visitor#
갯벌의조개 경희대점,조개요리,서울 동대문구 경희대로1길 18 1층,https://pcmap.place.naver.com/restaurant/1503903162/review/visitor#
삼삼뼈국 회기점,한식,서울 동대문구 망우로21길 52 C동 1층,https://pcmap.place.naver.com/restaurant/1520151281/review/visitor#
엉뚱식당,소고기구이,서울 동대문구 장한로 42 1층,https://pcmap.place.naver.com/restaurant/20919515/review/visitor#
강금옥쭈꾸미,주꾸미요리,서울 동대문구 이문로 40,https://pcmap.place.naver.com/restaurant/1860878060/review/visitor#
바다수산,생선회,서울 동대문구 왕산로35길 24,https://pcmap.place.naver.com/restaurant/1062006408/review/visitor#
로운 샤브샤브 청량리점,샤브샤브,서울 동대문구 왕산로 214 롯데백화점 청량리점 지하 2층,https://pcmap.place.naver.com/restaurant/1658816620/review/visitor#
금면옥 원기회복 칼국수 장안본점,"칼국수,만두",서울 동대문구 장한로 37 1층 101호,https://pcmap.place.naver.com/restaurant/1094025674/review/visitor#
메모아르,베이커리,서울 동대문구 회기로 156 2층,https://pcmap.place.naver.com/restaurant/1797926282/review/visitor#
분홍꽃돼지,돼지고기구이,서울 동대문구 제기로2길 14 . 1층,https://pcmap.place.naver.com/restaurant/1955972600/review/visitor#
남원통닭,"치킨,닭강정",서울 동대문구 홍릉로1길 39,https://pcmap.place.naver.com/restaurant/37547083/review/visitor#
이문동그집 본점,한식,서울 동대문구 이문로 195 (주차는 석관동공영주차장 이용)9/2일 open,https://pcmap.place.naver.com/restaurant/1825863284/review/visitor#
시키카츠 고대점,돈가스,서울 동대문구 약령시로 25 2상가 1층,https://pcmap.place.naver.com/restaurant/1509658928/review/visitor#
일번지정육식당 장한평점,정육식당,서울 동대문구 장한로 18 1층 일번지정육식당 장한평점,https://pcmap.place.naver.com/restaurant/1735251923/review/visitor#
일월수제만두떡갈비 장안점,만두,서울 동대문구 답십리로 303 1층 일월수제만두떡갈비,https://pcmap.place.naver.com/restaurant/1081659104/review/visitor#
장안정,돈가스,서울 동대문구 답십리로 291-3 장안정,https://pcmap.place.naver.com/restaurant/13538229/review/visitor#
형제집,한식,서울 동대문구 제기로6길 14-2,https://pcmap.place.naver.com/restaurant/20931128/review/visitor#
이문동커피집 크럼블로스터스,"카페,디저트",서울 동대문구 이문로25길 39 1층,https://pcmap.place.naver.com/restaurant/1141283550/review/visitor#
도남수산,생선회,서울 동대문구 안암로 6,https://pcmap.place.naver.com/restaurant/36740594/review/visitor#
황해도순대,"순대,순댓국",서울 동대문구 경동시장로2길 49-3 황해도순대,https://pcmap.place.naver.com/restaurant/1569366424/review/visitor#
홍곱창 회기 본점,"곱창,막창,양",서울 동대문구 회기로25길 60 1층 홍곱창,https://pcmap.place.naver.com/restaurant/12851206/review/visitor#
독,돼지고기구이,서울 동대문구 왕산로 278-1,https://pcmap.place.naver.com/restaurant/20601515/review/visitor#
