가게 이름,업종구분,주소,URL
삼정 한우곱창,"곱창,막창,양",서울 동작구 노량진로6길 6-3 1층 및 지하,https://pcmap.place.naver.com/restaurant/1930192914/review/visitor#
멘쇼우라멘 이수,일본식라면,서울 동작구 동작대로27가길 42 1층,https://pcmap.place.naver.com/restaurant/1395304759/review/visitor#
형제상회,생선회,서울 동작구 노들로 674 1층 북3문 168~172호,https://pcmap.place.naver.com/restaurant/32812007/review/visitor#
전라상회,생선회,"서울 동작구 노들로 674 노량진수산시장 1층 159호, 160호, 161호",https://pcmap.place.naver.com/restaurant/21290261/review/visitor#
손선장,생선회,서울 동작구 노들로 674 남3문 활어 17-19호/38-39호 손선장,https://pcmap.place.naver.com/restaurant/1849203435/review/visitor#
노량해전 노량진횟집,생선회,서울 동작구 만양로16길 4 1층 노량해전,https://pcmap.place.naver.com/restaurant/1594529881/review/visitor#
놉스 사당점,"스테이크,립",서울 동작구 동작대로5길 8 1층,https://pcmap.place.naver.com/restaurant/1231594896/review/visitor#
노량진수산시장 독도수산,생선회,"서울 동작구 노들로 674 노량진수산시장 1층 2호, 3호, 4호",https://pcmap.place.naver.com/restaurant/1822334614/review/visitor#
시선 이수역점,이자카야,"서울 동작구 동작대로27가길 40 1층, 2층",https://pcmap.place.naver.com/restaurant/1177065734/review/visitor#
유미카츠 이수방배점,돈가스,서울 동작구 동작대로27길 18 2층,https://pcmap.place.naver.com/restaurant/1981717867/review/visitor#
김종구참치박사,생선회,서울 동작구 동작대로 25-1,https://pcmap.place.naver.com/restaurant/37853724/review/visitor#
우리회포차 사당점,생선회,서울 동작구 사당로30길 148 1층,https://pcmap.place.naver.com/restaurant/1153797725/review/visitor#
애플하우스,떡볶이,서울 동작구 동작대로27다길 29 2층,https://pcmap.place.naver.com/restaurant/12873924/review/visitor#
피쉬회포차 사당점,생선회,서울 동작구 동작대로7길 7 1층,https://pcmap.place.naver.com/restaurant/304489414/review/visitor#
88수산,킹크랩요리,서울 동작구 노들로 688 신건물 2층 활어 2-15,https://pcmap.place.naver.com/restaurant/1531407721/review/visitor#
한울갈비,"육류,고기요리","서울 동작구 동작대로1길 9 1층 / 2층, 1. 2호선 8번 출구로 나오신 후 좌측 골목 20m 전방 좌측에 위치2. 4호선 9번 출구로 나오신 후 롯데마트 앞 우측 골목",https://pcmap.place.naver.com/restaurant/36341235/review/visitor#
해태기아,생선회,서울 동작구 노들로 674 노량진수산시장 1층 활어 33호.34호 (해태기아),https://pcmap.place.naver.com/restaurant/1265900768/review/visitor#
디퍼댄와인 사당점,요리주점,서울 동작구 동작대로1길 8 3층,https://pcmap.place.naver.com/restaurant/1602026142/review/visitor#
해물한소반 사당직영점,"아귀찜,해물찜",서울 동작구 동작대로1길 18,https://pcmap.place.naver.com/restaurant/32839660/review/visitor#
바다사랑,생선회,서울 동작구 동작대로1길 10-16 1층,https://pcmap.place.naver.com/restaurant/19963969/review/visitor#
일성수산,생선회,서울 동작구 노들로 674 신건물 1층 남1문 옆 활어8번,https://pcmap.place.naver.com/restaurant/37257157/review/visitor#
구월,생선회,"서울 동작구 노량진로 147 1층 , 지하1층",https://pcmap.place.naver.com/restaurant/1117191485/review/visitor#
땅끝마을,생선회,서울 동작구 노들로 674 1층 42호 43호,https://pcmap.place.naver.com/restaurant/13550861/review/visitor#
신남도수산 노량진수산시장횟집,생선회,서울 동작구 노들로 674,https://pcmap.place.naver.com/restaurant/1611105760/review/visitor#
충남미림,생선회,서울 동작구 노들로 674 노량진수산물도매시장 노량진동 1층 152호,https://pcmap.place.naver.com/restaurant/1052612425/review/visitor#
사이집 사당본점,"육류,고기요리",서울 동작구 동작대로9길 10 1층,https://pcmap.place.naver.com/restaurant/1766140389/review/visitor#
청해진,생선회,서울 동작구 노들로 674 노량진수산시장 신관 2층 20호 청해진,https://pcmap.place.naver.com/restaurant/13299893/review/visitor#
정남옥 노량진점,국밥,서울 동작구 노량진로 148-5 1층,https://pcmap.place.naver.com/restaurant/1748600811/review/visitor#
외양간,"육류,고기요리",서울 동작구 동작대로11길 16 1층,https://pcmap.place.naver.com/restaurant/1655837844/review/visitor#
남해안 횟집,생선회,서울 동작구 사당로30길 157,https://pcmap.place.naver.com/restaurant/32221403/review/visitor#
신지도수산,생선회,서울 동작구 노들로 674 2층 63호,https://pcmap.place.naver.com/restaurant/1017393093/review/visitor#
이레상회,생선회,서울 동작구 노들로 674 노량진 수산물 도매시장 1층 166호,https://pcmap.place.naver.com/restaurant/1660199348/review/visitor#
쿠우쿠우 골드 보라매공원점,"일식,초밥뷔페",서울 동작구 보라매로5가길 16 보라매아카데미타워 7층,https://pcmap.place.naver.com/restaurant/1236623907/review/visitor#
런던수산,생선회,서울 동작구 노들로 674 2층23호,https://pcmap.place.naver.com/restaurant/1470000470/review/visitor#
칠리부대찌개&스테이크,"찌개,전골",서울 동작구 보라매로5가길 16 보라매아카데미타워 2층 칠리부대찌개&스테이크,https://pcmap.place.naver.com/restaurant/1939363592/review/visitor#
백호양대창,"곱창,막창,양",서울 동작구 동작대로25길 30 1층 백호양대창,https://pcmap.place.naver.com/restaurant/1573324272/review/visitor#
화설 이수직영점,"육류,고기요리",서울 동작구 동작대로25길 13 1~2층,https://pcmap.place.naver.com/restaurant/1803455149/review/visitor#
육태기 사당본점,"육류,고기요리",서울 동작구 사당로30길 115 1층,https://pcmap.place.naver.com/restaurant/1449510291/review/visitor#
진주식당,생선회,서울 동작구 노들로 674 노량진수산물도매시장 5층 진주식당,https://pcmap.place.naver.com/restaurant/771196897/review/visitor#
노량진 대부도,생선회,"서울 동작구 노들로 674 1층 활어 86, 87호",https://pcmap.place.naver.com/restaurant/1995480417/review/visitor#
노량진수산시장 청양수산 횟집,생선회,서울 동작구 노들로 674 노량진수산시장 1층 활어 40호,https://pcmap.place.naver.com/restaurant/37064618/review/visitor#
오드리곱창,"곱창,막창,양",서울 동작구 동작대로7길 65 1층,https://pcmap.place.naver.com/restaurant/1139062420/review/visitor#
라시에스타,이탈리아음식,서울 동작구 동작대로 21 양지빌딩 6층 라시에스타,https://pcmap.place.naver.com/restaurant/13470609/review/visitor#
