가게 이름,업종구분,주소,URL
구름산추어탕 은평구청점,추어탕,서울 은평구 서오릉로 6 1층 101호,https://pcmap.place.naver.com/restaurant/1079904754/review/visitor#
고공 역촌점,"육류,고기요리",서울 은평구 진흥로 120-1 1층 고공 역촌점,https://pcmap.place.naver.com/restaurant/1787075356/review/visitor#
쿠우쿠우 연신내점,"일식,초밥뷔페",서울 은평구 통일로 856 메트로타워 6층,https://pcmap.place.naver.com/restaurant/1412921364/review/visitor#
태백산생고기,소고기구이,서울 은평구 연서로 205 1층 태백산생고기,https://pcmap.place.naver.com/restaurant/694411058/review/visitor#
벌교 맛집,"해물,생선요리",서울 은평구 연서로17길 18-9 1층,https://pcmap.place.naver.com/restaurant/20700474/review/visitor#
보들이족발,"족발,보쌈",서울 은평구 연서로 230-10 보들이족발,https://pcmap.place.naver.com/restaurant/19878328/review/visitor#
하남돼지집 연신내1호점,돼지고기구이,서울 은평구 연서로 200 2층,https://pcmap.place.naver.com/restaurant/283964259/review/visitor#
로타리곱창타운 연신내본점,"곱창,막창,양",서울 은평구 연서로27길 20-17 1층 독채,https://pcmap.place.naver.com/restaurant/1576881820/review/visitor#
옥탑방,돼지고기구이,서울 은평구 서오릉로 115 1층 옥탑방,https://pcmap.place.naver.com/restaurant/1881113859/review/visitor#
돈장군,"육류,고기요리",서울 은평구 진흥로 116 1층,https://pcmap.place.naver.com/restaurant/1594971989/review/visitor#
경주식당 연신내점,한식,"서울 은평구 연서로27길 13-8 1, 2층 경주식당 연신내점",https://pcmap.place.naver.com/restaurant/1484070054/review/visitor#
충무칼국수,"칼국수,만두",서울 은평구 은평로 193 2층 충무칼국수,https://pcmap.place.naver.com/restaurant/32174829/review/visitor#
을지로냉삼정밀,"육류,고기요리",서울 은평구 응암로4길 27-2 1층,https://pcmap.place.naver.com/restaurant/1881451413/review/visitor#
두꺼비집,오징어요리,서울 은평구 연서로28길 5 185-33 두꺼비집,https://pcmap.place.naver.com/restaurant/33875198/review/visitor#
1인1잔,"카페,디저트",서울 은평구 연서로 534,https://pcmap.place.naver.com/restaurant/1101064446/review/visitor#
쌩판 연신내본점,이자카야,서울 은평구 연서로27길 20-9 1층,https://pcmap.place.naver.com/restaurant/1587374740/review/visitor#
우기와,요리주점,서울 은평구 진관3로 67 905동 1층 104호,https://pcmap.place.naver.com/restaurant/1606077212/review/visitor#
강화통통생고기 응암점,강화통통생고기,서울 은평구 응암로13길 27-1 1층,https://pcmap.place.naver.com/restaurant/1397602613/review/visitor#
몬슈,"카페,디저트",서울 은평구 연서로 302 1층,https://pcmap.place.naver.com/restaurant/1802307109/review/visitor#
스테이165,양식,서울 은평구 연서로27길 16-5,https://pcmap.place.naver.com/restaurant/1130941959/review/visitor#
핵밥 연신내점,덮밥,서울 은평구 연서로29길 4-1,https://pcmap.place.naver.com/restaurant/1320007478/review/visitor#
1인1상,브런치,서울 은평구 연서로 534 4층/5층,https://pcmap.place.naver.com/restaurant/274185546/review/visitor#
삼청동샤브 구파발역점,샤브샤브,"서울 은평구 진관3로 11 은평뉴타운힐데스하임 101동 1층 120,121호",https://pcmap.place.naver.com/restaurant/1646918354/review/visitor#
명륜진사갈비 은평구청점,"육류,고기요리",서울 은평구 은평로 192 1층,https://pcmap.place.naver.com/restaurant/1076585049/review/visitor#
홍계화 연신내본점,요리주점,서울 은평구 연서로27길 8-7 1층,https://pcmap.place.naver.com/restaurant/1826906525/review/visitor#
훈연가,"육류,고기요리",서울 은평구 연서로29길 17-6 1층,https://pcmap.place.naver.com/restaurant/1607404551/review/visitor#
명륜진사갈비 구파발점,"육류,고기요리",서울 은평구 진관3로 37 에코테라스 1층/ 지하주차장 3시간 무료주차,https://pcmap.place.naver.com/restaurant/1138933645/review/visitor#
포항물회,생선회,서울 은평구 통일로83길 15-1 1층,https://pcmap.place.naver.com/restaurant/1337173070/review/visitor#
압구정화로구이 응암점,"육류,고기요리",서울 은평구 은평로 159 1층,https://pcmap.place.naver.com/restaurant/1519254057/review/visitor#
한사발포차 연신내점,요리주점,서울 은평구 연서로29길 14-4 1층(갈현동),https://pcmap.place.naver.com/restaurant/1096132356/review/visitor#
스시온도,"초밥,롤",서울 은평구 불광천길 536 에필리움 1층 스시온도,https://pcmap.place.naver.com/restaurant/1696006795/review/visitor#
빠삭튀김,종합분식,서울 은평구 은평로 92 빠삭튀김,https://pcmap.place.naver.com/restaurant/37992354/review/visitor#
뉴욕스트립,양식,서울 은평구 수색로 190 증산동빌딩 뉴욕스트립,https://pcmap.place.naver.com/restaurant/1487354212/review/visitor#
백년고기 이베리코 블랙,"육류,고기요리",서울 은평구 진흥로 57 이마트옆 서부경찰서 맞은편 주차가능,https://pcmap.place.naver.com/restaurant/1050725474/review/visitor#
YM COFFEE HOUSE,카페,서울 은평구 연서로29길 21-8 1층,https://pcmap.place.naver.com/restaurant/37064850/review/visitor#
뭉텅 연신내점,돼지고기구이,서울 은평구 연서로29길 22 1층 뭉텅,https://pcmap.place.naver.com/restaurant/1273652338/review/visitor#
다온카츠 연신내본점,일식당,서울 은평구 연서로29길 21-11 1.5층 다온카츠,https://pcmap.place.naver.com/restaurant/1816689066/review/visitor#
서남갈비,"육류,고기요리",서울 은평구 진흥로15길 18 1층 서남갈비,https://pcmap.place.naver.com/restaurant/1011008409/review/visitor#
상록회관연탄구이 연신내점,돼지고기구이,서울 은평구 연서로29길 20-17 1층,https://pcmap.place.naver.com/restaurant/1367143304/review/visitor#
연서의 정원,"카페,디저트",서울 은평구 연서로 253-7 연서의 정원,https://pcmap.place.naver.com/restaurant/1112098724/review/visitor#
탕면,중식당,서울 은평구 진관3로 33 꿈에그린 상가 b111호,https://pcmap.place.naver.com/restaurant/1206243768/review/visitor#
정거장뒤,퓨전음식,서울 은평구 응암로12길 21 우측,https://pcmap.place.naver.com/restaurant/1389150767/review/visitor#
타코박스 연신내점,"멕시코,남미음식",서울 은평구 연서로27길 20-14 1층,https://pcmap.place.naver.com/restaurant/1825199677/review/visitor#
횟집산이네,생선회,서울 은평구 통일로66길 4-1 1층 횟집산이네,https://pcmap.place.naver.com/restaurant/20742471/review/visitor#
명륜진사갈비 응암점,"육류,고기요리",서울 은평구 응암로 235 1층,https://pcmap.place.naver.com/restaurant/1940965065/review/visitor#
뭉텅 은평본점,돼지고기구이,서울 은평구 은평로 221-1 1층,https://pcmap.place.naver.com/restaurant/1188364421/review/visitor#
야끼니꾸소량 연신내점,"육류,고기요리",서울 은평구 연서로29길 24 1층 야끼니꾸 소량,https://pcmap.place.naver.com/restaurant/1980588842/review/visitor#
운수돈 구파발점,"육류,고기요리",서울 은평구 진관3로 67 905(상가)동 제1층 제101호 운수돈,https://pcmap.place.naver.com/restaurant/1893427507/review/visitor#
아스론가 연신내,양식,서울 은평구 연서로29길 17-3 1층,https://pcmap.place.naver.com/restaurant/1193069264/review/visitor#
심야식당세이지 연신내본점,이자카야,서울 은평구 연서로27길 13-6 심야식당세이지,https://pcmap.place.naver.com/restaurant/37619274/review/visitor#
쿠로,이자카야,서울 은평구 연서로 211-3 2층,https://pcmap.place.naver.com/restaurant/1788964881/review/visitor#
차이몬스터,중식당,서울 은평구 불광천길 334,https://pcmap.place.naver.com/restaurant/36684022/review/visitor#
중화원,중식당,서울 은평구 통일로66길 10-16 1층,https://pcmap.place.naver.com/restaurant/18662530/review/visitor#
도새기식당,돼지고기구이,서울 은평구 갈현로 254-1 1층,https://pcmap.place.naver.com/restaurant/47534939/review/visitor#
롱브레드 은평한옥마을점,브런치,서울 은평구 연서로 530,https://pcmap.place.naver.com/restaurant/1660680786/review/visitor#
플롭 불광천,피자,서울 은평구 불광천길 338 1층,https://pcmap.place.naver.com/restaurant/1112540091/review/visitor#
갈현동할머니떡볶이,떡볶이,서울 은평구 통일로87길 8-1,https://pcmap.place.naver.com/restaurant/19882551/review/visitor#
육회어때 응암점,"육류,고기요리",서울 은평구 응암로11길 15 1층,https://pcmap.place.naver.com/restaurant/1432452946/review/visitor#
산들애건강밥상,한식,서울 은평구 대서문길 43-16,https://pcmap.place.naver.com/restaurant/13561584/review/visitor#
제주마실,"육류,고기요리",서울 은평구 응암로13길 11-10 1층,https://pcmap.place.naver.com/restaurant/1562899594/review/visitor#
아웃백스테이크하우스 구파발점,패밀리레스토랑,서울 은평구 통일로 1080 삼전솔하임 103동 2층,https://pcmap.place.naver.com/restaurant/1508160915/review/visitor#
YM ESPRESSO ROOM,"카페,디저트",서울 은평구 진관3로 67 래미안아파트 909동 상가 1층 101호,https://pcmap.place.naver.com/restaurant/1328693882/review/visitor#
오름집 연신내본점,"찌개,전골",서울 은평구 연서로29길 20-23 2층 오름집,https://pcmap.place.naver.com/restaurant/1607882299/review/visitor#
스타벅스 더북한산점,카페,서울 은평구 대서문길 24-11 (진관동),https://pcmap.place.naver.com/restaurant/1996291234/review/visitor#
남촌회관 은평점,"육류,고기요리",서울 은평구 은평로 151 1층,https://pcmap.place.naver.com/restaurant/1000455122/review/visitor#
만포면옥 본점,냉면,서울 은평구 연서로 171 백년가게 만포면옥,https://pcmap.place.naver.com/restaurant/12049759/review/visitor#
페스카,"스파게티,파스타전문",서울 은평구 연서로 204 1층,https://pcmap.place.naver.com/restaurant/1698767904/review/visitor#
스페이스헬레나,"카페,디저트",서울 은평구 진관길 4 2층,https://pcmap.place.naver.com/restaurant/1432708920/review/visitor#
도투리 샤브칼국수 불광천,샤브샤브,서울 은평구 증산로 303,https://pcmap.place.naver.com/restaurant/37441569/review/visitor#
스시쇼부,"초밥,롤",서울 은평구 은평로13길 11-9 1층,https://pcmap.place.naver.com/restaurant/1971832408/review/visitor#
부엉이산장 연신내 본점,요리주점,서울 은평구 연서로25길 6-18 1층,https://pcmap.place.naver.com/restaurant/1721690357/review/visitor#
이상향,중식당,서울 은평구 진흥로5길 17 1층 이상향,https://pcmap.place.naver.com/restaurant/1711585772/review/visitor#
불광우동,"우동,소바",서울 은평구 진흥로 150 안성빌딩,https://pcmap.place.naver.com/restaurant/32174528/review/visitor#
고도 은평본점,"육류,고기요리","서울 은평구 연서로 19 1층, 2층",https://pcmap.place.naver.com/restaurant/1416198970/review/visitor#
이가네가마솥설렁탕,"곰탕,설렁탕",서울 은평구 진흥로 130,https://pcmap.place.naver.com/restaurant/13048498/review/visitor#
불광천왕돈까스,돈가스,서울 은평구 응암로21길 22-1 1층,https://pcmap.place.naver.com/restaurant/1338022540/review/visitor#
가이오국수,국수,서울 은평구 연서로 132,https://pcmap.place.naver.com/restaurant/31558556/review/visitor#
꽈배기이발소,베이커리,"서울 은평구 증산로3길 12 좌판 22, 30호",https://pcmap.place.naver.com/restaurant/1352973411/review/visitor#
파술타,양식,서울 은평구 통일로 883 1층 파술타,https://pcmap.place.naver.com/restaurant/1076026753/review/visitor#
송추가마골 은평1호점,"육류,고기요리",서울 은평구 북한산로 276 예강1,https://pcmap.place.naver.com/restaurant/31564432/review/visitor#
