가게 이름,업종구분,주소,URL
신사랑매운갈비찜 수유본점,한식,서울 강북구 노해로8가길 14,https://pcmap.place.naver.com/restaurant/30802305/review/visitor#
북새통 미아사거리점,"육류,고기요리",서울 강북구 도봉로10다길 10 1층 2호,https://pcmap.place.naver.com/restaurant/1556918932/review/visitor#
대광어회집,생선회,서울 강북구 노해로 31,https://pcmap.place.naver.com/restaurant/1646434551/review/visitor#
한사발포차 수유점,요리주점,서울 강북구 노해로8길 29 1층 103호,https://pcmap.place.naver.com/restaurant/1516740119/review/visitor#
수유갈비산성골,"육류,고기요리",서울 강북구 덕릉로 126 1층 산성골,https://pcmap.place.naver.com/restaurant/31558585/review/visitor#
삼다도,"아귀찜,해물찜",서울 강북구 삼양로29길 10-16,https://pcmap.place.naver.com/restaurant/17908598/review/visitor#
짚신매운갈비찜 미아본점,"육류,고기요리",서울 강북구 월계로7나길 30-9 1층,https://pcmap.place.naver.com/restaurant/11626339/review/visitor#
옥류헌릴렉스,"카페,디저트",서울 강북구 삼양로181길 142 옥류헌릴렉스,https://pcmap.place.naver.com/restaurant/33875857/review/visitor#
옛날농장 미아현대점,"육류,고기요리",서울 강북구 도봉로 30 에코피아빌딩 1층 102호 옛날농장,https://pcmap.place.naver.com/restaurant/36793432/review/visitor#
엘림들깨수제비칼국수,한식,서울 강북구 삼각산로 67,https://pcmap.place.naver.com/restaurant/13027042/review/visitor#
깃든,"육류,고기요리",서울 강북구 월계로7나길 46-5 1층 깃든,https://pcmap.place.naver.com/restaurant/1540522631/review/visitor#
장수마늘보쌈,"족발,보쌈",서울 강북구 한천로 960 1층 장수마늘보쌈,https://pcmap.place.naver.com/restaurant/37269086/review/visitor#
삼덕식당 미아사거리점,"육류,고기요리",서울 강북구 월계로7나길 29 1층,https://pcmap.place.naver.com/restaurant/203405005/review/visitor#
명인갈비 미아점,"육류,고기요리",서울 강북구 솔샘로 327 테마빌딩 1층 101호 명인갈비,https://pcmap.place.naver.com/restaurant/1362664138/review/visitor#
몽브루,"카페,디저트",서울 강북구 4.19로 105 몽브루,https://pcmap.place.naver.com/restaurant/1068275528/review/visitor#
미성반점,중식당,서울 강북구 4.19로 37 1층,https://pcmap.place.naver.com/restaurant/1898093858/review/visitor#
남영동양문 미아사거리점,"육류,고기요리",서울 강북구 월계로3길 57 102호,https://pcmap.place.naver.com/restaurant/1424010892/review/visitor#
수유부추곱창,"곱창,막창,양",서울 강북구 도봉로87길 26-21 수유3동192-22,https://pcmap.place.naver.com/restaurant/37111836/review/visitor#
진호횟집,생선회,서울 강북구 도봉로98길 33 진호횟집,https://pcmap.place.naver.com/restaurant/37005892/review/visitor#
넛츠비어 미아사거리점,"맥주,호프",서울 강북구 월계로3길 57 101호,https://pcmap.place.naver.com/restaurant/1896508945/review/visitor#
수유 섬진강민물장어 본점,"장어,먹장어요리",서울 강북구 한천로 1151,https://pcmap.place.naver.com/restaurant/17916854/review/visitor#
소말뚝 수유리점,"육류,고기요리",서울 강북구 한천로140길 23-4 1층,https://pcmap.place.naver.com/restaurant/1569499317/review/visitor#
더주샤,이자카야,서울 강북구 한천로140길 11 1층 더주샤,https://pcmap.place.naver.com/restaurant/1949546502/review/visitor#
하와이조개 수유점,조개요리,"서울 강북구 노해로8길 29 101, 102호",https://pcmap.place.naver.com/restaurant/1107843688/review/visitor#
조개일번지 미아사거리 본점,조개요리,서울 강북구 도봉로8길 37 1층,https://pcmap.place.naver.com/restaurant/21230276/review/visitor#
청담동샤브 에피소드 수유 838점,샤브샤브,서울 강북구 도봉로 315 1층 R107호,https://pcmap.place.naver.com/restaurant/1002178686/review/visitor#
카페 산아래,카페,서울 강북구 삼양로181길 56 102호,https://pcmap.place.naver.com/restaurant/1499941915/review/visitor#
투썸플레이스 미아테라스파크점,카페,서울 강북구 삼양로27길 43 위브 테라스 파크,https://pcmap.place.naver.com/restaurant/37387456/review/visitor#
대동집 미아사거리점,요리주점,서울 강북구 도봉로6길 8 1층,https://pcmap.place.naver.com/restaurant/1261973169/review/visitor#
육육곱창 수유점,"곱창,막창,양",서울 강북구 도봉로87길 40 103호,https://pcmap.place.naver.com/restaurant/1149811259/review/visitor#
보사노바커피로스터스 수유역점,"카페,디저트",서울 강북구 도봉로85길 8 보사노바 커피로스터스,https://pcmap.place.naver.com/restaurant/1447905428/review/visitor#
미도인 수유,양식,서울 강북구 도봉로 315 에피소드 수유 1층 R109호,https://pcmap.place.naver.com/restaurant/1011175625/review/visitor#
일번지정육식당 수유본점,정육식당,서울 강북구 한천로140길 5,https://pcmap.place.naver.com/restaurant/37903546/review/visitor#
굴사냥 광산사거리점,굴요리,서울 강북구 한천로 1096,https://pcmap.place.naver.com/restaurant/20848828/review/visitor#
육빙고,"육류,고기요리",서울 강북구 노해로 45 1층,https://pcmap.place.naver.com/restaurant/1345142112/review/visitor#
행복수산,생선회,서울 강북구 솔샘로67길 133 1층 행복수산,https://pcmap.place.naver.com/restaurant/17905069/review/visitor#
번동식당,한식뷔페,서울 강북구 덕릉로40길 11,https://pcmap.place.naver.com/restaurant/1106169918/review/visitor#
상미규카츠 수유본점,일식당,서울 강북구 도봉로87길 32 1층 상미규카츠,https://pcmap.place.naver.com/restaurant/1185003986/review/visitor#
대명대광어횟집,생선회,서울 강북구 덕릉로 110-1,https://pcmap.place.naver.com/restaurant/1313679830/review/visitor#
미아리 곰장어 아나고,"장어,먹장어요리",서울 강북구 월계로7가길 24 1층,https://pcmap.place.naver.com/restaurant/1607209304/review/visitor#
파라스파라 우디플레이트,뷔페,서울 강북구 삼양로 689 114동 2층,https://pcmap.place.naver.com/restaurant/1428814911/review/visitor#
황주집 수유본점,"곱창,막창,양",서울 강북구 도봉로 372 단충,https://pcmap.place.naver.com/restaurant/11708442/review/visitor#
원조할매곱창,"곱창,막창,양",서울 강북구 월계로3길 68,https://pcmap.place.naver.com/restaurant/20879826/review/visitor#
굴마을낙지촌 수유점,굴요리,서울 강북구 오패산로77길 3 1층,https://pcmap.place.naver.com/restaurant/11671510/review/visitor#
계원 수유점,"육류,고기요리",서울 강북구 한천로143길 29 동방플러스빌 1층 계원,https://pcmap.place.naver.com/restaurant/1721971595/review/visitor#
만두향 수유본점,"칼국수,만두",서울 강북구 한천로123길 61 1층 만두향,https://pcmap.place.naver.com/restaurant/1701203763/review/visitor#
멘쇼우라멘 수유,일본식라면,서울 강북구 한천로139나길 19 1층,https://pcmap.place.naver.com/restaurant/1580825677/review/visitor#
투썸플레이스 북한산우이역점,카페,서울 강북구 삼양로 685 투썸플레이스 북한산우이역점,https://pcmap.place.naver.com/restaurant/1386108098/review/visitor#
대보명가,한식,서울 강북구 4.19로 69,https://pcmap.place.naver.com/restaurant/19796636/review/visitor#
무너미,"카페,디저트",서울 강북구 노해로8가길 40 1층,https://pcmap.place.naver.com/restaurant/1530597017/review/visitor#
바우,요리주점,서울 강북구 도봉로10나길 19-8 B01,https://pcmap.place.naver.com/restaurant/1531218012/review/visitor#
낙지일번지 수유본점,낙지요리,서울 강북구 도봉로89길 10,https://pcmap.place.naver.com/restaurant/32465297/review/visitor#
우마이 카츠나베 수유본점,일식당,"서울 강북구 도봉로 315 R207, R208호",https://pcmap.place.naver.com/restaurant/1383966563/review/visitor#
고원회 수유점,생선회,"서울 강북구 노해로 41 1층 104호, 105호 ,106호",https://pcmap.place.naver.com/restaurant/1030454427/review/visitor#
스시노칸도 수유점,"초밥,롤",서울 강북구 한천로139나길 1 3층,https://pcmap.place.naver.com/restaurant/1103215956/review/visitor#
벼랑순대국 본점,"순대,순댓국",서울 강북구 한천로 924,https://pcmap.place.naver.com/restaurant/626702163/review/visitor#
겹 수유본점,"육류,고기요리","서울 강북구 노해로8가길 33 1, 2층",https://pcmap.place.naver.com/restaurant/1575484686/review/visitor#
수유손칼국수,"칼국수,만두",서울 강북구 도봉로101길 45,https://pcmap.place.naver.com/restaurant/17949541/review/visitor#
강북끝집,"곱창,막창,양",서울 강북구 도봉로8길 62 1층 강북끝집,https://pcmap.place.naver.com/restaurant/1394275306/review/visitor#
비스트로 웨이트,요리주점,서울 강북구 오패산로31길 43 1층 BISTRO WAIT,https://pcmap.place.naver.com/restaurant/1579100949/review/visitor#
두껍다회선생 수유점,일식당,"서울 강북구 덕릉로 76 수유프리미어엠 1층 103호, 104호, 105호",https://pcmap.place.naver.com/restaurant/1297653263/review/visitor#
흥부족발보쌈 미아사거리역 본점,"족발,보쌈",서울 강북구 도봉로8길 12 1층,https://pcmap.place.naver.com/restaurant/20913901/review/visitor#
수유리조트,"카페,디저트",서울 강북구 노해로8가길 45,https://pcmap.place.naver.com/restaurant/21082552/review/visitor#
서로해물,생선회,서울 강북구 한천로143길 24 1층 서로해물,https://pcmap.place.naver.com/restaurant/1437069671/review/visitor#
다래함박스텍,돈가스,서울 강북구 수유로 20-2,https://pcmap.place.naver.com/restaurant/18612050/review/visitor#
애슐리퀸즈 미아사거리역점,패밀리레스토랑,서울 강북구 도봉로 52 Y스퀘어 5층,https://pcmap.place.naver.com/restaurant/37542868/review/visitor#
흥부전놀부전,요리주점,서울 강북구 노해로 42-1,https://pcmap.place.naver.com/restaurant/20929120/review/visitor#
