가게 이름,업종구분,주소,URL
육달집 강남본점,"육류,고기요리",서울 강남구 강남대로102길 22 2층,https://pcmap.place.naver.com/restaurant/1242805374/review/visitor#
밤별 포차 라운지 강남역본점,요리주점,"서울 강남구 강남대로102길 13-8 지층, 1층, 2층, 3층",https://pcmap.place.naver.com/restaurant/1047144456/review/visitor#
영천영화 청담점,소고기구이,서울 강남구 도산대로90길 3 상민빌딩 1층,https://pcmap.place.naver.com/restaurant/13124988/review/visitor#
치스타리에 강남역점,양식,서울 강남구 강남대로106길 9 지하1층 치스타,https://pcmap.place.naver.com/restaurant/1443081237/review/visitor#
동어동락 삼성본점,생선회,서울 강남구 삼성로96길 7 동어동락 삼성본점,https://pcmap.place.naver.com/restaurant/1606942616/review/visitor#
미도인 강남,양식,서울 강남구 강남대로102길 16 지상 1층,https://pcmap.place.naver.com/restaurant/1427134948/review/visitor#
임피리얼팰리스서울 카페 델마르,카페,서울 강남구 언주로 640 1층,https://pcmap.place.naver.com/restaurant/33879607/review/visitor#
을지다락 강남,양식,서울 강남구 강남대로96길 22 2층,https://pcmap.place.naver.com/restaurant/1483096423/review/visitor#
사보텐 아워홈빌딩점,돈가스,서울 강남구 역삼로 115 서정빌딩 1층,https://pcmap.place.naver.com/restaurant/21591754/review/visitor#
자매수산,생선회,서울 강남구 봉은사로18길 90,https://pcmap.place.naver.com/restaurant/37441575/review/visitor#
다몽집 신논현본점,"육류,고기요리",서울 강남구 강남대로100길 13 지하1층/2층 다몽집,https://pcmap.place.naver.com/restaurant/1028354634/review/visitor#
쭈꾸미랩소디 강남점,주꾸미요리,서울 강남구 강남대로98길 12-3 1층 쭈꾸미랩소디,https://pcmap.place.naver.com/restaurant/1493818151/review/visitor#
샤블리 신사본점,샤브샤브,서울 강남구 강남대로152길 35 2층,https://pcmap.place.naver.com/restaurant/1417591954/review/visitor#
고기꾼김춘배 강남점,돼지고기구이,"서울 강남구 강남대로100길 13 3층, 4층",https://pcmap.place.naver.com/restaurant/37837518/review/visitor#
골드피쉬 딤섬퀴진,요리주점,서울 강남구 압구정로48길 35 투구빌딩 2층,https://pcmap.place.naver.com/restaurant/21037800/review/visitor#
일품헌 역삼점,샤브샤브,서울 강남구 언주로93길 30 1층,https://pcmap.place.naver.com/restaurant/33500262/review/visitor#
어거스트 힐 강남점,양식,서울 강남구 강남대로106길 25,https://pcmap.place.naver.com/restaurant/661051254/review/visitor#
심퍼티쿠시 신사점,양식,서울 강남구 강남대로154길 16,https://pcmap.place.naver.com/restaurant/1001519803/review/visitor#
노티드 스튜디오 청담,카페,서울 강남구 도산대로53길 15 1층,https://pcmap.place.naver.com/restaurant/895457986/review/visitor#
논현 에이엠포차,요리주점,서울 강남구 강남대로122길 10 2층,https://pcmap.place.naver.com/restaurant/1363983059/review/visitor#
삼성골목집 삼성본점,"육류,고기요리",서울 강남구 테헤란로104길 19 2층,https://pcmap.place.naver.com/restaurant/1416884407/review/visitor#
청담 마코토,일식당,서울 강남구 압구정로80길 37 이에스빌딩 2층,https://pcmap.place.naver.com/restaurant/20451517/review/visitor#
