가게 이름,업종구분,주소,URL
돈구멍 마곡본점,"육류,고기요리",서울 강서구 마곡동로 62 마곡사이언스타워 2층스타벅스옆/201호 돈구멍 마곡본점,https://pcmap.place.naver.com/restaurant/1569525488/review/visitor#
모루야,일식당,서울 강서구 공항대로 194 퀸즈파크 12차 1층 111호,https://pcmap.place.naver.com/restaurant/1444011125/review/visitor#
면옥담 마곡본점,"칼국수,만두",서울 강서구 마곡중앙6로 66 2층 219호,https://pcmap.place.naver.com/restaurant/1534541627/review/visitor#
송쭈집 마곡,주꾸미요리,서울 강서구 마곡서로 158 센트럴타워2차 2층 송쭈집 마곡나루점,https://pcmap.place.naver.com/restaurant/967176451/review/visitor#
원조장족발 등촌점,"족발,보쌈",서울 강서구 공항대로59길 37 1층,https://pcmap.place.naver.com/restaurant/11618582/review/visitor#
봄담아 마곡점,샤브샤브,서울 강서구 마곡중앙로 59-17 118~122호 1층,https://pcmap.place.naver.com/restaurant/1748863485/review/visitor#
우니크,소고기구이,서울 강서구 마곡동로3길 6 NY타워 11층,https://pcmap.place.naver.com/restaurant/1695259596/review/visitor#
봉이밥,한식,"서울 강서구 마곡중앙로 171 프라이빗타워2차 1층 103,104호",https://pcmap.place.naver.com/restaurant/1722695185/review/visitor#
어나더사이드,"카페,디저트",서울 강서구 강서로 318 1층 카페 어나더사이드,https://pcmap.place.naver.com/restaurant/1582128660/review/visitor#
만배아리랑보쌈 본점,"족발,보쌈",서울 강서구 화곡로18길 24 강서뉴타워 1층 만배아리랑,https://pcmap.place.naver.com/restaurant/12058989/review/visitor#
마곡관,요리주점,서울 강서구 마곡중앙로 161-8 두산더랜드파크 D동 103호,https://pcmap.place.naver.com/restaurant/1300945099/review/visitor#
탐라팩토리 마곡발산점,돼지고기구이,"서울 강서구 마곡중앙6로 21 마곡 이너매스 1층 104호, 131호",https://pcmap.place.naver.com/restaurant/1405083727/review/visitor#
광주똑순이아구찜,"아귀찜,해물찜",서울 강서구 강서로 375-8 1층,https://pcmap.place.naver.com/restaurant/18405940/review/visitor#
만배아리랑보쌈 등촌점,"족발,보쌈",서울 강서구 등촌로51길 17 1층,https://pcmap.place.naver.com/restaurant/1075306392/review/visitor#
