가게 이름,업종구분,주소,URL
영등포구석집 신도림점,한식,"서울 구로구 공원로6나길 29-22 B1, 지상1층",https://pcmap.place.naver.com/restaurant/1772255616/review/visitor#
육연사 개봉역점,요리주점,서울 구로구 경인로40길 47 개봉역 2층,https://pcmap.place.naver.com/restaurant/1888538616/review/visitor#
봉고기,"육류,고기요리",서울 구로구 경인로 619-3 푸르지오 3차 아파트 상가 1층,https://pcmap.place.naver.com/restaurant/1926907521/review/visitor#
육풍 구로디지털단지점,돼지고기구이,서울 구로구 디지털로32나길 20,https://pcmap.place.naver.com/restaurant/1368355359/review/visitor#
오목집 신도림점,"족발,보쌈","서울 구로구 경인로 661 신도림1차푸르지오 1층 128, 137호",https://pcmap.place.naver.com/restaurant/1417560412/review/visitor#
세광양대창 구로디지털점,"곱창,막창,양",서울 구로구 디지털로32나길 7 2층,https://pcmap.place.naver.com/restaurant/1455435052/review/visitor#
할매기름집,"전,빈대떡",서울 구로구 공원로6가길 49 1층 101호,https://pcmap.place.naver.com/restaurant/1794317820/review/visitor#
우월소곱창 신도림본점,"곱창,막창,양",서울 구로구 경인로 631 1층,https://pcmap.place.naver.com/restaurant/1265919731/review/visitor#
신도림 이도식당,닭갈비,서울 구로구 경인로 661 신도림1차푸르지오 2층,https://pcmap.place.naver.com/restaurant/75209465/review/visitor#
크랩프트 신도림점,"스파게티,파스타전문",서울 구로구 공원로6나길 26 201호,https://pcmap.place.naver.com/restaurant/1204444725/review/visitor#
옛날마차,생선회,서울 구로구 디지털로32길 97-16,https://pcmap.place.naver.com/restaurant/20868590/review/visitor#
미켈고깃집 구로점,"육류,고기요리",서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 지하 105호,https://pcmap.place.naver.com/restaurant/1610869365/review/visitor#
새벽집 양곱창,"곱창,막창,양",서울 구로구 경인로 619-60 1층 (신도림동) 신도림맛집 새벽집양곱창,https://pcmap.place.naver.com/restaurant/102198467/review/visitor#
거북솥삼겹살,돼지고기구이,서울 구로구 디지털로32길 97-28 1층,https://pcmap.place.naver.com/restaurant/18430904/review/visitor#
엉베흐 신도림,와인,서울 구로구 공원로8길 25 지하1층,https://pcmap.place.naver.com/restaurant/1009989352/review/visitor#
교대이층집 신도림점,"육류,고기요리",서울 구로구 경인로 661 푸르지오1차 상가 2층 242호,https://pcmap.place.naver.com/restaurant/1192490766/review/visitor#
미방 신도림점,양갈비,서울 구로구 경인로 661 신도림푸르지오1차 상가동 147호,https://pcmap.place.naver.com/restaurant/1101717545/review/visitor#
라도맨션,돼지고기구이,서울 구로구 공원로6다길 20,https://pcmap.place.naver.com/restaurant/1984337339/review/visitor#
한사발포차 신도림점,요리주점,서울 구로구 새말로18길 28 1층,https://pcmap.place.naver.com/restaurant/1789811691/review/visitor#
라무진 신도림역점,양갈비,서울 구로구 경인로67길 23 119호,https://pcmap.place.naver.com/restaurant/1315695013/review/visitor#
계절별미,한식,서울 구로구 서해안로 2340-11 화신연립,https://pcmap.place.naver.com/restaurant/1112313330/review/visitor#
라마노피자,피자,서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 지하1층 B119호,https://pcmap.place.naver.com/restaurant/37433126/review/visitor#
의영이네 양갈비,양갈비,서울 구로구 디지털로32길 97-22 1층,https://pcmap.place.naver.com/restaurant/1003037429/review/visitor#
한수한식,한정식,서울 구로구 경인로 631 3층 한수한식,https://pcmap.place.naver.com/restaurant/1766198724/review/visitor#
