가게 이름,업종구분,주소,URL
후추스시,"초밥,롤",서울 관악구 관악로14길 87 2층 201호,https://pcmap.place.naver.com/restaurant/1070317367/review/visitor#
청기와타운 서울대점,"육류,고기요리",서울 관악구 남부순환로 1838 1층,https://pcmap.place.naver.com/restaurant/1761847145/review/visitor#
미나리생삼겹 3호점,"육류,고기요리",서울 관악구 신림로59길 15-10 1층,https://pcmap.place.naver.com/restaurant/1019296500/review/visitor#
도쿄스테이크 타임스트림점,"스테이크,립",서울 관악구 신림로 330 포도몰 9층,https://pcmap.place.naver.com/restaurant/1355858218/review/visitor#
문득,이탈리아음식,서울 관악구 관악로14길 8,https://pcmap.place.naver.com/restaurant/1926971458/review/visitor#
십원집 신림점,돼지고기구이,서울 관악구 신림로 354 1층 십원집,https://pcmap.place.naver.com/restaurant/33636538/review/visitor#
사당역 힘찬정육식당,정육식당,서울 관악구 남현1길 58 1층 힘찬정육식당,https://pcmap.place.naver.com/restaurant/1721781825/review/visitor#
킷사서울,일식당,서울 관악구 남부순환로226길 31 2층 킷사서울,https://pcmap.place.naver.com/restaurant/1218049409/review/visitor#
도올쇠 서울대입구점,요리주점,서울 관악구 남부순환로234길 28 1층,https://pcmap.place.naver.com/restaurant/1414747950/review/visitor#
고베규카츠 신림점,돈가스,서울 관악구 남부순환로176길 8 2층 고베규카츠,https://pcmap.place.naver.com/restaurant/38310369/review/visitor#
계탄언니 사당본점,닭갈비,서울 관악구 과천대로 951 지하 1층,https://pcmap.place.naver.com/restaurant/1954136325/review/visitor#
수왕초장집 구로점,생선회,"서울 관악구 시흥대로 550 1층, 2층",https://pcmap.place.naver.com/restaurant/1821367240/review/visitor#
샵도쿄시장 신림점,요리주점,"서울 관악구 남부순환로176길 12 2층, 3층",https://pcmap.place.naver.com/restaurant/1384459705/review/visitor#
우담정,소고기구이,서울 관악구 남부순환로 2082-25 4층,https://pcmap.place.naver.com/restaurant/12784071/review/visitor#
모힝 비스트로,이탈리아음식,서울 관악구 남부순환로226길 36 2층,https://pcmap.place.naver.com/restaurant/31375404/review/visitor#
안밀소 서울대입구역본점,베트남음식,서울 관악구 봉천로 473-9 2층,https://pcmap.place.naver.com/restaurant/1494872080/review/visitor#
바다수다,생선회,서울 관악구 쑥고개로 73-1 1층,https://pcmap.place.naver.com/restaurant/1415908548/review/visitor#
스테이크하우스 로아,양식,서울 관악구 봉천로62길 7 2층,https://pcmap.place.naver.com/restaurant/36084392/review/visitor#
세광양대창 서울대입구점,"곱창,막창,양",서울 관악구 관악로16길 13 2층,https://pcmap.place.naver.com/restaurant/1777006717/review/visitor#
천미미 구로점,중식당,서울 관악구 시흥대로 552 석천빌딩 2층,https://pcmap.place.naver.com/restaurant/1297341976/review/visitor#
부뚜막 신림본점,"육류,고기요리","서울 관악구 남부순환로 1597-15 1층, 부뚜막",https://pcmap.place.naver.com/restaurant/38009643/review/visitor#
온정돈까스 본점,돈가스,서울 관악구 조원로 60,https://pcmap.place.naver.com/restaurant/18727412/review/visitor#
진격의곱창 신림점,"곱창,막창,양",서울 관악구 관천로 37-1 1층 A-26,https://pcmap.place.naver.com/restaurant/1703199231/review/visitor#
어울림정육식당 서울대입구역점,정육식당,서울 관악구 남부순환로 1808 1층 어울림정육식당,https://pcmap.place.naver.com/restaurant/1301382459/review/visitor#
함지박치즈등갈비 신림본점,"육류,고기요리",서울 관악구 신림로65길 38,https://pcmap.place.naver.com/restaurant/35629425/review/visitor#
와인창고잡,와인,서울 관악구 남부순환로226길 31 1층 와인창고잡,https://pcmap.place.naver.com/restaurant/37281466/review/visitor#
그집돼지 본점,돼지고기구이,서울 관악구 봉천로 467 1층 그집돼지,https://pcmap.place.naver.com/restaurant/1552305349/review/visitor#
