가게 이름,업종구분,주소,URL
탄토탄토,이탈리아음식,서울 광진구 아차산로33길 49 2층,https://pcmap.place.naver.com/restaurant/1552451811/review/visitor#
정통숯불꼬치구이구르메 군자점,이자카야,서울 광진구 능동로35길 35 1층,https://pcmap.place.naver.com/restaurant/1342272023/review/visitor#
백일도,생선회,"서울 광진구 능동로47길 37 중곡제일시장 10호, 140호",https://pcmap.place.naver.com/restaurant/1252860220/review/visitor#
홍별감네,한식,서울 광진구 긴고랑로 28,https://pcmap.place.naver.com/restaurant/20824174/review/visitor#
건대사시미,생선회,서울 광진구 아차산로33길 23,https://pcmap.place.naver.com/restaurant/33626444/review/visitor#
마초쉐프 건대점,이탈리아음식,서울 광진구 능동로 125 2층 마초쉐프 건대점,https://pcmap.place.naver.com/restaurant/605585253/review/visitor#
해피니스디저트,"카페,디저트",서울 광진구 아차산로30길 31 Happiness Dessert 妖开心甜品,https://pcmap.place.naver.com/restaurant/1086653842/review/visitor#
코후쿠,이자카야,서울 광진구 아차산로29길 24 2층 코후쿠이자카야,https://pcmap.place.naver.com/restaurant/1718483751/review/visitor#
남자수산,생선회,서울 광진구 광나루로37길 8 1층,https://pcmap.place.naver.com/restaurant/35031952/review/visitor#
박과장의 조은회사,생선회,서울 광진구 아차산로 345 래미안 프리미어팰리스@상가102동 125호,https://pcmap.place.naver.com/restaurant/1361911933/review/visitor#
만경상회 건대본점,요리주점,서울 광진구 동일로22길 40,https://pcmap.place.naver.com/restaurant/37578264/review/visitor#
오마카세 오사이초밥 건대본점,"초밥,롤",서울 광진구 군자로 14 1층,https://pcmap.place.naver.com/restaurant/1982870444/review/visitor#
송화산시도삭면,"딤섬,중식만두",서울 광진구 뚝섬로27길 48,https://pcmap.place.naver.com/restaurant/1359051109/review/visitor#
고향양꼬치 건대점,양꼬치,서울 광진구 동일로18길 101,https://pcmap.place.naver.com/restaurant/31186491/review/visitor#
킨보이서울,"카페,디저트",서울 광진구 아차산로39길 16 1층,https://pcmap.place.naver.com/restaurant/1553081980/review/visitor#
회식의달인 건대점,"육류,고기요리",서울 광진구 뚝섬로33길 45 1층,https://pcmap.place.naver.com/restaurant/1648084173/review/visitor#
에이뿔램 군자점,양갈비,서울 광진구 능동로36길 36 2층 에이뿔램 군자점,https://pcmap.place.naver.com/restaurant/36321303/review/visitor#
연길왕꼬치 건대본점,양꼬치,서울 광진구 동일로18길 86,https://pcmap.place.naver.com/restaurant/37535377/review/visitor#
멕시칼리,"멕시코,남미음식",서울 광진구 능동로36길 181 1층,https://pcmap.place.naver.com/restaurant/1111031959/review/visitor#
매운향솥 마라탕 마라샹궈,중식당,서울 광진구 동일로18길 61 1층,https://pcmap.place.naver.com/restaurant/34203618/review/visitor#
로니로티 건대점,이탈리아음식,서울 광진구 아차산로 225 단산화빌딩,https://pcmap.place.naver.com/restaurant/33451555/review/visitor#
최원석의돼지한판&서해쭈꾸미 건대1호점,"육류,고기요리",서울 광진구 아차산로 199 성빌딩,https://pcmap.place.naver.com/restaurant/13067607/review/visitor#
바인,와인,서울 광진구 아차산로29길 22 지하1층,https://pcmap.place.naver.com/restaurant/1597112748/review/visitor#
시치린,소고기구이,"서울 광진구 자양로22길 25 1층, 2층",https://pcmap.place.naver.com/restaurant/1881563985/review/visitor#
비스타 워커힐 서울 더뷔페,뷔페,서울 광진구 워커힐로 177 비스타 워커힐 서울 1층,https://pcmap.place.naver.com/restaurant/11714935/review/visitor#
허씨 정통중경마라샹궈 3호점,중식당,서울 광진구 아차산로30길 17,https://pcmap.place.naver.com/restaurant/1017625819/review/visitor#
이이요,일식당,서울 광진구 능동로32길 6,https://pcmap.place.naver.com/restaurant/38738686/review/visitor#
미도인 건대,양식,서울 광진구 아차산로33길 53 1층,https://pcmap.place.naver.com/restaurant/1050384764/review/visitor#
레스또 커피,"카페,디저트",서울 광진구 군자로6길 50-5 1층 레스또 커피,https://pcmap.place.naver.com/restaurant/1154955342/review/visitor#
비스타 워커힐 서울 피자힐,피자,서울 광진구 워커힐로 177 워커힐 호텔앤리조트,https://pcmap.place.naver.com/restaurant/11611438/review/visitor#
도치피자 강변,이탈리아음식,서울 광진구 아차산로62길 14-4,https://pcmap.place.naver.com/restaurant/1555212741/review/visitor#
예담밥상,한정식,서울 광진구 동일로22길 13,https://pcmap.place.naver.com/restaurant/13155444/review/visitor#
민지슈퍼 2호점,"맥주,호프",서울 광진구 아차산로31길 27 지하 김창훈호프 건대점,https://pcmap.place.naver.com/restaurant/1929531895/review/visitor#
뽕사부,중식당,서울 광진구 아차산로 205,https://pcmap.place.naver.com/restaurant/1136089786/review/visitor#
수작나베 강변본점,아시아음식,서울 광진구 구의강변로 106 삼성쉐르빌 1층 110호,https://pcmap.place.naver.com/restaurant/1377800548/review/visitor#
하이디라오 건대지점,중식당,서울 광진구 능동로 110 스타시티 영존 A동 2F,https://pcmap.place.naver.com/restaurant/1588990046/review/visitor#
신선술집 도원,요리주점,"서울 광진구 아차산로33길 33 2, 3층",https://pcmap.place.naver.com/restaurant/1769666633/review/visitor#
행복한우,"육류,고기요리",서울 광진구 구의강변로 30 목림빌딩,https://pcmap.place.naver.com/restaurant/17975113/review/visitor#
한남성왕꼬치 건대본점,양꼬치,"서울 광진구 동일로18길 67 1층, 2층",https://pcmap.place.naver.com/restaurant/1051839807/review/visitor#
더 클래식 500 라구뜨,뷔페,서울 광진구 능동로 90 더클래식500 B동 3층,https://pcmap.place.naver.com/restaurant/13564309/review/visitor#
찌마기 구의점,조개요리,서울 광진구 구의로 17 1층,https://pcmap.place.naver.com/restaurant/1533308837/review/visitor#
