가게 이름,업종구분,주소,URL
종로불돼지,돼지고기구이,서울 종로구 청계천로 67 1층,https://pcmap.place.naver.com/restaurant/21582064/review/visitor#
또오리,오리요리,서울 종로구 성균관로 6-4 또오리,https://pcmap.place.naver.com/restaurant/12048016/review/visitor#
고베규카츠 대학로점,돈가스,서울 종로구 대학로11길 34 고베규카츠 대학로점,https://pcmap.place.naver.com/restaurant/1560991978/review/visitor#
더 키친750,이탈리아음식,서울 종로구 대학로8가길 80 2층,https://pcmap.place.naver.com/restaurant/37420979/review/visitor#
기러기둥지 익선동 본점,양식,서울 종로구 돈화문로11길 28-4 1층,https://pcmap.place.naver.com/restaurant/83235399/review/visitor#
미도인 대학로,양식,서울 종로구 대학로9길 32 1층 미도인,https://pcmap.place.naver.com/restaurant/1747236582/review/visitor#
혜화도담,한식,서울 종로구 대명1길 16-6 혜화도담,https://pcmap.place.naver.com/restaurant/1638640485/review/visitor#
반기다,퓨전음식,서울 종로구 익선동 166-52,https://pcmap.place.naver.com/restaurant/1337452676/review/visitor#
라 스위스,이탈리아음식,서울 종로구 자하문로6길 11-36 끄레아주차장 안,https://pcmap.place.naver.com/restaurant/1505990157/review/visitor#
북촌도담,한식,서울 종로구 북촌로1길 9,https://pcmap.place.naver.com/restaurant/1393475011/review/visitor#
청수당 베이커리,"카페,디저트",서울 종로구 돈화문로11나길 31-9,https://pcmap.place.naver.com/restaurant/1262377225/review/visitor#
은성 한정식,한정식,서울 종로구 우정국로 45-23 조계사 후문 (불교대학 옆건물),https://pcmap.place.naver.com/restaurant/1194910250/review/visitor#
닥터로빈 광화문점,이탈리아음식,서울 종로구 종로3길 17 D-타워 5층,https://pcmap.place.naver.com/restaurant/36992330/review/visitor#
우와 대학로점,일식당,서울 종로구 동숭길 78 2층,https://pcmap.place.naver.com/restaurant/1400319959/review/visitor#
인사동마늘보쌈,"족발,보쌈",서울 종로구 인사동8길 12-5,https://pcmap.place.naver.com/restaurant/37942234/review/visitor#
혜화수산 혜화본점,생선회,서울 종로구 창경궁로 259,https://pcmap.place.naver.com/restaurant/18678006/review/visitor#
미도갈비,"육류,고기요리",서울 종로구 삼일대로15길 25 1층,https://pcmap.place.naver.com/restaurant/1264295690/review/visitor#
은돼지식당,"육류,고기요리",서울 종로구 대학로9길 29,https://pcmap.place.naver.com/restaurant/1193580592/review/visitor#
한술식당 대학로점,덮밥,서울 종로구 대학로11길 27 2층,https://pcmap.place.naver.com/restaurant/1539590580/review/visitor#
종로3가 장군굴보쌈,"족발,보쌈",서울 종로구 수표로20길 22,https://pcmap.place.naver.com/restaurant/31658139/review/visitor#
살롱순라 서순라길점,양식,서울 종로구 율곡로10길 75 살롱순라,https://pcmap.place.naver.com/restaurant/1266673496/review/visitor#
까치화방 종로점,"카페,디저트",서울 종로구 종로 51 종로타워빌딩 1층,https://pcmap.place.naver.com/restaurant/1332315113/review/visitor#
뎁짜이 대학로점,베트남음식,서울 종로구 대학로11길 41-4 1층,https://pcmap.place.naver.com/restaurant/34431003/review/visitor#
참돼짓간 종로본점,돼지고기구이,서울 종로구 돈화문로5가길 1 피카디리 cgv극장 1층 1-89호,https://pcmap.place.naver.com/restaurant/1541393160/review/visitor#
잘빠진메밀 서촌 본점,막국수,서울 종로구 자하문로11길 4,https://pcmap.place.naver.com/restaurant/35135719/review/visitor#
나르,요리주점,서울 종로구 대명1길 20 2층,https://pcmap.place.naver.com/restaurant/1082491061/review/visitor#
양연화로 종로직영점,돼지고기구이,서울 종로구 삼일대로17길 18 종로맛집 양연화로 종로직영점,https://pcmap.place.naver.com/restaurant/1777652650/review/visitor#
삼안갈비촌,"육류,고기요리",서울 종로구 대명1길 7 1층,https://pcmap.place.naver.com/restaurant/1844708952/review/visitor#
레이지버거클럽 부암점,햄버거,서울 종로구 창의문로 137 2층,https://pcmap.place.naver.com/restaurant/1410647547/review/visitor#
평양고깃집,"육류,고기요리",서울 종로구 인사동5길 14 2층 평양 고깃집,https://pcmap.place.naver.com/restaurant/1543784908/review/visitor#
포담 서촌본점,중식당,서울 종로구 사직로 133-10 2층 포담,https://pcmap.place.naver.com/restaurant/36908457/review/visitor#
국찌족발,"족발,보쌈",서울 종로구 우정국로2길 34 . 1층 국찌족발,https://pcmap.place.naver.com/restaurant/1374598059/review/visitor#
오죽이네,닭요리,서울 종로구 돈화문로11가길 25,https://pcmap.place.naver.com/restaurant/19418573/review/visitor#
이들스,"멕시코,남미음식",서울 종로구 삼일대로 428 중2층 이들스,https://pcmap.place.naver.com/restaurant/1153655734/review/visitor#
개성만두 궁,만두,서울 종로구 인사동10길 11-3,https://pcmap.place.naver.com/restaurant/11590805/review/visitor#
핏제리아오 대학로 본점,피자,"서울 종로구 동숭길 86 2, 3층",https://pcmap.place.naver.com/restaurant/33646740/review/visitor#
서촌기와집 경복궁본점,한식,서울 종로구 자하문로1길 35,https://pcmap.place.naver.com/restaurant/1129006435/review/visitor#
촌놈,돼지고기구이,서울 종로구 대학로8가길 48,https://pcmap.place.naver.com/restaurant/11867483/review/visitor#
온천집,샤브샤브,서울 종로구 돈화문로11나길 31-8,https://pcmap.place.naver.com/restaurant/1113085292/review/visitor#
부부식당,한식,서울 종로구 동숭길 43 2층 부부식당,https://pcmap.place.naver.com/restaurant/487146615/review/visitor#
고기꾼김춘배 종로직영점,돼지고기구이,서울 종로구 삼일대로17길 17 5층 고기꾼 김춘배,https://pcmap.place.naver.com/restaurant/37766317/review/visitor#
고청담 광화문 디타워점,소고기구이,서울 종로구 종로3길 17 D타워 5층,https://pcmap.place.naver.com/restaurant/1223232276/review/visitor#
고메식당,돼지고기구이,서울 종로구 종로10길 14,https://pcmap.place.naver.com/restaurant/38590197/review/visitor#
진중 우육면관,아시아음식,서울 종로구 청계천로 75-2,https://pcmap.place.naver.com/restaurant/1124361834/review/visitor#
포시즌스 호텔 서울 보칼리노,이탈리아음식,서울 종로구 새문안로 97 2층,https://pcmap.place.naver.com/restaurant/38623401/review/visitor#
도화선,"육류,고기요리",서울 종로구 삼일대로17길 51 1층,https://pcmap.place.naver.com/restaurant/1027231695/review/visitor#
삼청동수제비,한식,서울 종로구 삼청로 101-1,https://pcmap.place.naver.com/restaurant/11569605/review/visitor#
준수방키친,이탈리아음식,서울 종로구 자하문로11길 8 준수방키친,https://pcmap.place.naver.com/restaurant/36819674/review/visitor#
잘빠진메밀 서순라길점,막국수,서울 종로구 율곡로8길 73 잘빠진메밀 서순라길점,https://pcmap.place.naver.com/restaurant/800663301/review/visitor#
깡통만두,만두,서울 종로구 북촌로2길 5-6 1층,https://pcmap.place.naver.com/restaurant/11863403/review/visitor#
두두,한식,서울 종로구 동숭길 63 2층,https://pcmap.place.naver.com/restaurant/31592246/review/visitor#
우아라 광화문점,소고기구이,서울 종로구 종로1길 50 더케이트윈타워 지하1층 우아라 광화문,https://pcmap.place.naver.com/restaurant/1980688980/review/visitor#
모던샤브하우스 광화문D타워점,샤브샤브,서울 종로구 종로3길 17 D타워 리플레이스 광화문 5층,https://pcmap.place.naver.com/restaurant/1838141891/review/visitor#
간판없는가게,이탈리아음식,서울 종로구 돈화문로11다길 36 1층 간판없는가게,https://pcmap.place.naver.com/restaurant/268542013/review/visitor#
숙달돼지 종각점,돼지고기구이,서울 종로구 종로8길 15,https://pcmap.place.naver.com/restaurant/1567345635/review/visitor#
대련집,"칼국수,만두",서울 종로구 종로16길 37,https://pcmap.place.naver.com/restaurant/11850242/review/visitor#
대찬횟집,생선회,서울 종로구 우정국로2길 10 지하 1층,https://pcmap.place.naver.com/restaurant/37842294/review/visitor#
제주바다 서울본점,생선회,서울 종로구 종로35길 18 1층,https://pcmap.place.naver.com/restaurant/38648333/review/visitor#
노티드 안국,카페,서울 종로구 북촌로 6-3 1층,https://pcmap.place.naver.com/restaurant/1229793109/review/visitor#
진옥화할매원조닭한마리,닭요리,서울 종로구 종로40가길 18,https://pcmap.place.naver.com/restaurant/11619295/review/visitor#
온지음 레스토랑,한식,서울 종로구 효자로 49 온지음 4층,https://pcmap.place.naver.com/restaurant/1302703569/review/visitor#
서울서둘째로잘하는집,차,서울 종로구 삼청로 122-1,https://pcmap.place.naver.com/restaurant/11569682/review/visitor#
황생가칼국수,"칼국수,만두",서울 종로구 북촌로5길 78,https://pcmap.place.naver.com/restaurant/11679429/review/visitor#
익선잡방,브런치,서울 종로구 수표로28길 17-21 익선잡방,https://pcmap.place.naver.com/restaurant/1767890367/review/visitor#
하얀고래 종각본점,한식,"서울 종로구 종로 65 1층 109,110,111호",https://pcmap.place.naver.com/restaurant/1325778307/review/visitor#
박가네 빈대떡,"전,빈대떡",서울 종로구 종로32길 7,https://pcmap.place.naver.com/restaurant/13493819/review/visitor#
자하손만두,만두,서울 종로구 백석동길 12,https://pcmap.place.naver.com/restaurant/11688084/review/visitor#
이문설렁탕,"곰탕,설렁탕",서울 종로구 우정국로 38-13,https://pcmap.place.naver.com/restaurant/11711983/review/visitor#
육랩 종로점,"육류,고기요리",서울 종로구 우정국로2길 42 3층 육랩,https://pcmap.place.naver.com/restaurant/1450644151/review/visitor#
부촌육회 본점,"육류,고기요리",서울 종로구 종로 200-12,https://pcmap.place.naver.com/restaurant/36428555/review/visitor#
혜화양육관,양꼬치,서울 종로구 대명1길 23,https://pcmap.place.naver.com/restaurant/32407273/review/visitor#
스태픽스,"카페,디저트",서울 종로구 사직로9길 22 102호,https://pcmap.place.naver.com/restaurant/1142689405/review/visitor#
동화,요리주점,서울 종로구 대명1길 16-6 2층 동화,https://pcmap.place.naver.com/restaurant/1669566053/review/visitor#
몽중헌 안국점,중식당,서울 종로구 북촌로 31-22,https://pcmap.place.naver.com/restaurant/13399101/review/visitor#
오스테리아소띠,이탈리아음식,서울 종로구 자하문로10길 10-19,https://pcmap.place.naver.com/restaurant/1574515002/review/visitor#
청진옥,해장국,서울 종로구 종로3길 32,https://pcmap.place.naver.com/restaurant/13544101/review/visitor#
반디 서순라길,요리주점,서울 종로구 율곡로8길 45 1층,https://pcmap.place.naver.com/restaurant/1051747215/review/visitor#
스파게티가있는풍경 광화문점,"스파게티,파스타전문",서울 종로구 새문안로 103-1 2층,https://pcmap.place.naver.com/restaurant/31420349/review/visitor#
육미안 혜화점,소고기구이,서울 종로구 창경궁로 246-4 1층 육미안,https://pcmap.place.naver.com/restaurant/1718133788/review/visitor#
삼겹살전문점대통령 본점,"육류,고기요리",서울 종로구 대학로14길 12-1,https://pcmap.place.naver.com/restaurant/31403119/review/visitor#
서촌계단집,"해물,생선요리",서울 종로구 자하문로1길 15,https://pcmap.place.naver.com/restaurant/31694842/review/visitor#
빠리가옥,프랑스음식,서울 종로구 수표로28길 33-4,https://pcmap.place.naver.com/restaurant/310755957/review/visitor#
해피니스 대학로점,중식당,서울 종로구 대학로11길 40 세훈빌딩 1층,https://pcmap.place.naver.com/restaurant/1064882776/review/visitor#
도마 유즈라멘,한식,서울 종로구 북촌로2길 14 유즈라멘,https://pcmap.place.naver.com/restaurant/1557353265/review/visitor#
도량,중식당,"서울 종로구 자하문로6길 6 2, 3층",https://pcmap.place.naver.com/restaurant/1817207066/review/visitor#
남대문막내횟집 광교점,생선회,서울 종로구 우정국로 4-1,https://pcmap.place.naver.com/restaurant/31575816/review/visitor#
H라운지,브런치,서울 종로구 자하문로4길 21-9,https://pcmap.place.naver.com/restaurant/1171532481/review/visitor#
토리고야 종로본점,이자카야,서울 종로구 우정국로2길 36,https://pcmap.place.naver.com/restaurant/37770443/review/visitor#
계림,닭볶음탕,서울 종로구 돈화문로4길 39,https://pcmap.place.naver.com/restaurant/33068253/review/visitor#
덕후선생 광화문디타워점,중식당,서울 종로구 종로3길 17 D타워 4층,https://pcmap.place.naver.com/restaurant/1175095587/review/visitor#
동백양과점 익선점,"카페,디저트",서울 종로구 수표로28길 17-24,https://pcmap.place.naver.com/restaurant/1387480043/review/visitor#
오봉집 종로점,한식,서울 종로구 종로8길 20 1층,https://pcmap.place.naver.com/restaurant/1558521785/review/visitor#
