가게 이름,업종구분,주소,URL
명륜진사갈비 서울신내본점,"육류,고기요리",서울 중랑구 봉화산로 227 1층,https://pcmap.place.naver.com/restaurant/1907487162/review/visitor#
명륜진사갈비 묵동점,"육류,고기요리",서울 중랑구 동일로 937 1층,https://pcmap.place.naver.com/restaurant/1731291498/review/visitor#
한국횟집,일식당,서울 중랑구 중랑역로 34 1층,https://pcmap.place.naver.com/restaurant/356594687/review/visitor#
홍길동 회 수산,생선회,서울 중랑구 봉우재로33길 47 1층,https://pcmap.place.naver.com/restaurant/1880535182/review/visitor#
일탄,"육류,고기요리",서울 중랑구 상봉로 97-1 1층 일탄,https://pcmap.place.naver.com/restaurant/1367047444/review/visitor#
오키나라,이자카야,서울 중랑구 중랑역로 69 1층 오키나라,https://pcmap.place.naver.com/restaurant/1791005274/review/visitor#
꿀삼겹,돼지고기구이,서울 중랑구 봉우재로 139,https://pcmap.place.naver.com/restaurant/34937281/review/visitor#
황금코다리 태릉점,"해물,생선요리",서울 중랑구 중랑역로 272 1층,https://pcmap.place.naver.com/restaurant/1589028235/review/visitor#
슌락 면목점,생선회,서울 중랑구 겸재로 187-10 1층 슌락,https://pcmap.place.naver.com/restaurant/33758704/review/visitor#
봄담아 상봉점,샤브샤브,서울 중랑구 망우로 247 로얄스포츠센터 1층,https://pcmap.place.naver.com/restaurant/1570003121/review/visitor#
쪽갈비대통령 먹골본점,돼지고기구이,서울 중랑구 동일로163길 46,https://pcmap.place.naver.com/restaurant/641761767/review/visitor#
쿠우쿠우 골드 상봉점,"일식,초밥뷔페",서울 중랑구 망우로 316 이지팰리스 3층,https://pcmap.place.naver.com/restaurant/563583704/review/visitor#
용호횟집,요리주점,서울 중랑구 중랑역로 44-1 1층 용호횟집,https://pcmap.place.naver.com/restaurant/36680835/review/visitor#
광부맥주 중랑망우점 제27광구,"맥주,호프",서울 중랑구 용마산로115길 39 1층,https://pcmap.place.naver.com/restaurant/1103751421/review/visitor#
장어세상 상봉점,"장어,먹장어요리",서울 중랑구 망우로 190 1층,https://pcmap.place.naver.com/restaurant/1639960695/review/visitor#
스시이안앤 상봉프레미어스엠코점,"초밥,롤",서울 중랑구 망우로 353 C동 2층 210호,https://pcmap.place.naver.com/restaurant/1156331329/review/visitor#
중랑등갈비 상봉본점,"육류,고기요리",서울 중랑구 중랑천로12길 30 1층 중랑등갈비,https://pcmap.place.naver.com/restaurant/1372744702/review/visitor#
임금돼지 태릉,"육류,고기요리",서울 중랑구 동일로 932 2단지상가 103호.,https://pcmap.place.naver.com/restaurant/1617404869/review/visitor#
목구멍 중화점,"육류,고기요리",서울 중랑구 동일로 795 1층 102호,https://pcmap.place.naver.com/restaurant/1370542550/review/visitor#
갓잇 상봉엔터식스점,"멕시코,남미음식",서울 중랑구 망우로 353 엔터식스 상봉점 1층,https://pcmap.place.naver.com/restaurant/1907695191/review/visitor#
암오케익,케이크전문,서울 중랑구 동일로140길 15 1층,https://pcmap.place.naver.com/restaurant/1961910476/review/visitor#
