가게 이름,업종구분,주소,URL
디어리스트 연남,양식,서울 마포구 동교로27길 21-8 1층,https://pcmap.place.naver.com/restaurant/1759441377/review/visitor#
봉참치,생선회,서울 마포구 월드컵북로 342,https://pcmap.place.naver.com/restaurant/32053620/review/visitor#
바다회사랑,생선회,서울 마포구 동교로27길 60,https://pcmap.place.naver.com/restaurant/18799565/review/visitor#
바다회사랑2호점,생선회,서울 마포구 동교로 143,https://pcmap.place.naver.com/restaurant/35523842/review/visitor#
몽주막,요리주점,서울 마포구 독막로9길 12 1층 몽주막,https://pcmap.place.naver.com/restaurant/1266411866/review/visitor#
우리바다수산,생선회,서울 마포구 월드컵로 102,https://pcmap.place.naver.com/restaurant/18377257/review/visitor#
바다애,생선회,서울 마포구 동교로18길 4 A동1층전체,https://pcmap.place.naver.com/restaurant/36597408/review/visitor#
꽃살집 홍대점,"육류,고기요리",서울 마포구 동교로 212-2 1층 꽃살집,https://pcmap.place.naver.com/restaurant/1772187177/review/visitor#
키친485 합정,이탈리아음식,서울 마포구 양화로6길 67 1층,https://pcmap.place.naver.com/restaurant/31694410/review/visitor#
21세기우리바다수산,생선회,서울 마포구 동교로 173 21세기우리바다수산,https://pcmap.place.naver.com/restaurant/1217027261/review/visitor#
육지,"육류,고기요리",서울 마포구 독막로3길 34 1F,https://pcmap.place.naver.com/restaurant/1287775548/review/visitor#
닥터로빈 공덕점,이탈리아음식,서울 마포구 백범로 192 에스오일 본사 1층,https://pcmap.place.naver.com/restaurant/20131928/review/visitor#
피오니,케이크전문,서울 마포구 독막로7길 51,https://pcmap.place.naver.com/restaurant/19866326/review/visitor#
우와,일식당,서울 마포구 와우산로21길 21-16 2층,https://pcmap.place.naver.com/restaurant/56228015/review/visitor#
아우룸,이탈리아음식,서울 마포구 월드컵로5길 33-26 1층,https://pcmap.place.naver.com/restaurant/1476397400/review/visitor#
터틀힙 연남,"카페,디저트",서울 마포구 연남로1길 44 1층 터틀힙,https://pcmap.place.naver.com/restaurant/38282260/review/visitor#
오목집 마포점,"족발,보쌈",서울 마포구 도화길 50-6 1층,https://pcmap.place.naver.com/restaurant/1739026290/review/visitor#
홍스쭈꾸미 홍대본점,주꾸미요리,서울 마포구 어울마당로 146,https://pcmap.place.naver.com/restaurant/12785328/review/visitor#
빌라 더 다이닝 연남본점,양식,서울 마포구 동교로30길 16 JnS.Bldg,https://pcmap.place.naver.com/restaurant/637360725/review/visitor#
모연 마포본점,소고기구이,서울 마포구 토정로 318 영우빌딩 1층 모연 마포본점,https://pcmap.place.naver.com/restaurant/546065192/review/visitor#
소울한우 마포역본점,소고기구이,서울 마포구 삼개로 16 신관 1층,https://pcmap.place.naver.com/restaurant/1254212552/review/visitor#
서울페이스트리 연남점,베이커리,서울 마포구 동교로41길 10 1층,https://pcmap.place.naver.com/restaurant/37992103/review/visitor#
원조부안집 마포직영점,돼지고기구이,서울 마포구 토정로 311 1층 원조부안집 마포직영점,https://pcmap.place.naver.com/restaurant/1918906580/review/visitor#
온리원갈비 합정 직영점,"육류,고기요리",서울 마포구 양화로11길 46 남성빌딩 1층,https://pcmap.place.naver.com/restaurant/1733830869/review/visitor#
