가게 이름,업종구분,주소,URL
전통평양냉면 제형면옥 하계점,냉면,서울 노원구 공릉로59나길 78-10 제형면옥,https://pcmap.place.naver.com/restaurant/879910649/review/visitor#
오마카세 오사이초밥 노원점,"초밥,롤",서울 노원구 동일로218길 17 일신상가 2층 209호,https://pcmap.place.naver.com/restaurant/1428887789/review/visitor#
오하라,이자카야,서울 노원구 노해로83길 20 8층,https://pcmap.place.naver.com/restaurant/1428876221/review/visitor#
중계고기파티 노원본점,"육류,고기요리",서울 노원구 중계로12길 6 중계고기파티 노원본점,https://pcmap.place.naver.com/restaurant/45690394/review/visitor#
하노이별 공릉점,베트남음식,서울 노원구 공릉로29길 18 B101호,https://pcmap.place.naver.com/restaurant/36399674/review/visitor#
신가네칼국수,"칼국수,만두",서울 노원구 공릉로59나길 78-14 신가네칼국수 노원본점,https://pcmap.place.naver.com/restaurant/1146499581/review/visitor#
로니로티 노원점,이탈리아음식,서울 노원구 상계로 63-7 2F,https://pcmap.place.naver.com/restaurant/1796835592/review/visitor#
빽돈 노원상계점,돼지고기구이,서울 노원구 노해로85길 1 1층 빽돈,https://pcmap.place.naver.com/restaurant/1116840822/review/visitor#
참만나,"육류,고기요리",서울 노원구 화랑로 443 6.7디벨리움 3층,https://pcmap.place.naver.com/restaurant/19882160/review/visitor#
투파인드피터 노원점,이탈리아음식,서울 노원구 상계로1길 34 1층,https://pcmap.place.naver.com/restaurant/1510825612/review/visitor#
최애수산,생선회,서울 노원구 공릉로 102 1층,https://pcmap.place.naver.com/restaurant/1241972403/review/visitor#
쭈꾸미달인2 노원점,주꾸미요리,서울 노원구 상계로5길 3 1층,https://pcmap.place.naver.com/restaurant/31719274/review/visitor#
횡성생고기집,소고기구이,서울 노원구 공릉로 160,https://pcmap.place.naver.com/restaurant/18012887/review/visitor#
노원왕곱창,"곱창,막창,양",서울 노원구 상계로 90 마블러스 2,https://pcmap.place.naver.com/restaurant/20609990/review/visitor#
돈까스먹는용만이,돈가스,서울 노원구 한글비석로20길 52,https://pcmap.place.naver.com/restaurant/21025254/review/visitor#
가장맛있는족발 중계브라운스톤점,"족발,보쌈",서울 노원구 동일로203가길 29 브라운스톤중계,https://pcmap.place.naver.com/restaurant/37460073/review/visitor#
브라운돈까스 노원역점,돈가스,서울 노원구 상계로 70 2층 브라운돈까스,https://pcmap.place.naver.com/restaurant/1407641827/review/visitor#
석암생소금구이 노원점,"육류,고기요리","서울 노원구 노해로83길 21 1층 6, 7, 8호",https://pcmap.place.naver.com/restaurant/1292919932/review/visitor#
한티옥 롯데백화점 노원점,한식,서울 노원구 동일로 1414 9층,https://pcmap.place.naver.com/restaurant/1096510556/review/visitor#
쑡,"육류,고기요리",서울 노원구 노해로85길 18 1층 쑡,https://pcmap.place.naver.com/restaurant/1477381526/review/visitor#
닭한마리 공릉본점,닭요리,서울 노원구 동일로 1020,https://pcmap.place.naver.com/restaurant/19877349/review/visitor#
상계우리수산,생선회,서울 노원구 한글비석로48길 12 1층,https://pcmap.place.naver.com/restaurant/1048988290/review/visitor#
크래버대게나라 노원점,게요리,서울 노원구 한글비석로 326 1층,https://pcmap.place.naver.com/restaurant/1977842311/review/visitor#
수락골 솥뚜껑 삼겹살,한식,서울 노원구 동일로242길 41 . 1층,https://pcmap.place.naver.com/restaurant/1528703556/review/visitor#
응순가재골수제비,"칼국수,만두",서울 노원구 동일로242길 100,https://pcmap.place.naver.com/restaurant/21037710/review/visitor#
아늑한주방 노원 공릉점,생선회,서울 노원구 섬밭로 88 1층,https://pcmap.place.naver.com/restaurant/37749854/review/visitor#
아소코,일식당,서울 노원구 동일로184길 53 1층 아소코,https://pcmap.place.naver.com/restaurant/1295848493/review/visitor#
강강술래 상계점,"육류,고기요리",서울 노원구 동일로 1628 상계동강강술래,https://pcmap.place.naver.com/restaurant/11613262/review/visitor#
냅다청양집 노원역점,돼지고기구이,서울 노원구 노해로85길 17 1층 2호,https://pcmap.place.naver.com/restaurant/1263244838/review/visitor#
용용선생 노원점,요리주점,서울 노원구 노해로85길 14 1층,https://pcmap.place.naver.com/restaurant/1819902279/review/visitor#
