가게 이름,업종구분,주소,URL
강남한우정육식당,정육식당,서울 서초구 강남대로6길 5,https://pcmap.place.naver.com/restaurant/36233324/review/visitor#
큐브뮤직타운,요리주점,"서울 서초구 서초대로77길 58 3, 4, 5층",https://pcmap.place.naver.com/restaurant/36333668/review/visitor#
이자카야나무 서초점,이자카야,서울 서초구 서초대로75길 23 지하1층~지상4층,https://pcmap.place.naver.com/restaurant/37725304/review/visitor#
자매수산 강남본점,생선회,서울 서초구 사평대로56길 12 1층 자매수산,https://pcmap.place.naver.com/restaurant/36310038/review/visitor#
사보텐 신논현점,돈가스,서울 서초구 서초대로77길 62 강남역 IPARK 1층,https://pcmap.place.naver.com/restaurant/32315528/review/visitor#
디오디아2.0,뷔페,서울 서초구 강남대로 213 엘타워 4층,https://pcmap.place.naver.com/restaurant/12950069/review/visitor#
낙원타코 강남역점,"멕시코,남미음식",서울 서초구 서초대로73길 7 2층,https://pcmap.place.naver.com/restaurant/1094851432/review/visitor#
바다당,생선회,서울 서초구 방배천로4길 26 2층,https://pcmap.place.naver.com/restaurant/1494363706/review/visitor#
텍사스데브라질 센트럴시티점,"스테이크,립",서울 서초구 사평대로 205,https://pcmap.place.naver.com/restaurant/36995509/review/visitor#
오감쭈꾸미,주꾸미요리,서울 서초구 방배천로 12-11,https://pcmap.place.naver.com/restaurant/38019113/review/visitor#
미담재 양재역점,한식,서울 서초구 남부순환로 2644 1층,https://pcmap.place.naver.com/restaurant/1419339898/review/visitor#
플랫나인,바(BAR),서울 서초구 강남대로65길 10 5층,https://pcmap.place.naver.com/restaurant/1793702349/review/visitor#
린참치,생선회,서울 서초구 강남대로43길 17 유경빌딩,https://pcmap.place.naver.com/restaurant/12802904/review/visitor#
호왕,소고기구이,서울 서초구 서초대로 91 1층 호왕,https://pcmap.place.naver.com/restaurant/36298567/review/visitor#
JW 메리어트 호텔 서울 타마유라,일식당,서울 서초구 신반포로 176 JW 메리어트 호텔 서울 2층,https://pcmap.place.naver.com/restaurant/1251661551/review/visitor#
갈비사랑 양재본점,"육류,고기요리",서울 서초구 강남대로 204 갈비사랑,https://pcmap.place.naver.com/restaurant/37233088/review/visitor#
리에또,"스파게티,파스타전문",서울 서초구 방배천로4안길 20,https://pcmap.place.naver.com/restaurant/37221619/review/visitor#
도우룸,이탈리아음식,서울 서초구 동광로 99 2층,https://pcmap.place.naver.com/restaurant/37351441/review/visitor#
하이디라오 서초지점,중식당,서울 서초구 서초대로77길 54 2층 하이디라오 훠궈,https://pcmap.place.naver.com/restaurant/38314432/review/visitor#
로리스 더 프라임 립,"스테이크,립",서울 서초구 서초대로 411 GT TOWER 3층,https://pcmap.place.naver.com/restaurant/33562781/review/visitor#
보글이 생태탕왕코다리 양재역점,"해물,생선요리",서울 서초구 강남대로37길 56-18 서초에메랄드빌딩 1층,https://pcmap.place.naver.com/restaurant/1932467805/review/visitor#
이가네양꼬치 양재2호직영점,양꼬치,서울 서초구 마방로2길 68,https://pcmap.place.naver.com/restaurant/240373085/review/visitor#
석문어 양재점,한식,서울 서초구 강남대로37길 46 1층,https://pcmap.place.naver.com/restaurant/1702897215/review/visitor#
디엠룸술집 강남점,요리주점,서울 서초구 서초대로77길 58,https://pcmap.place.naver.com/restaurant/1070316921/review/visitor#
정성해장국 교대본점,해장국,서울 서초구 반포대로28길 46 1동 나호,https://pcmap.place.naver.com/restaurant/1467525034/review/visitor#
온센 강남점,일식당,서울 서초구 서초대로73길 42 리가스퀘어 1층 111호,https://pcmap.place.naver.com/restaurant/1250740851/review/visitor#
차알 파미에스테이션점,중식당,서울 서초구 사평대로 205 파미에스테이션 2층,https://pcmap.place.naver.com/restaurant/1433741819/review/visitor#
이자카야나무 사당점,이자카야,"서울 서초구 방배천로2길 25 2층, 3층",https://pcmap.place.naver.com/restaurant/1926988980/review/visitor#
감격시대,"육류,고기요리",서울 서초구 서초대로50길 104 코랜드빌딩,https://pcmap.place.naver.com/restaurant/37128226/review/visitor#
고깃집열,"육류,고기요리",서울 서초구 서초대로78길 48 2층,https://pcmap.place.naver.com/restaurant/1879127565/review/visitor#
육품,돼지고기구이,서울 서초구 강남대로65길 12 2층 육품,https://pcmap.place.naver.com/restaurant/1445634411/review/visitor#
은행골 강남역점,"초밥,롤",서울 서초구 서초대로75길 34 3층 은행골,https://pcmap.place.naver.com/restaurant/1880609487/review/visitor#
교대이층집 교대본점,"육류,고기요리",서울 서초구 서초대로50길 24 청화빌딩 2층,https://pcmap.place.naver.com/restaurant/35624097/review/visitor#
미담재 교대역점,한식,서울 서초구 서초중앙로24길 27 지하1층,https://pcmap.place.naver.com/restaurant/1742138275/review/visitor#
정고기,"육류,고기요리",서울 서초구 강남대로34길 43 2층,https://pcmap.place.naver.com/restaurant/1835295363/review/visitor#
JW 메리어트 호텔 서울 플레이버즈,뷔페,서울 서초구 신반포로 176 JW 메리어트 호텔 서울 2층,https://pcmap.place.naver.com/restaurant/1736859138/review/visitor#
상석 논현본점,요리주점,서울 서초구 사평대로57길 98 1층 상석 논현본점,https://pcmap.place.naver.com/restaurant/1274639097/review/visitor#
케르반 파미에스테이션,아시아음식,서울 서초구 사평대로 205 2층 에프피 216호,https://pcmap.place.naver.com/restaurant/1679079727/review/visitor#
더 리버사이드 호텔 뷔페 더가든키친,뷔페,서울 서초구 강남대로107길 6 1층,https://pcmap.place.naver.com/restaurant/18282060/review/visitor#
매우매오 파미에스테이션 강남점,"육류,고기요리",서울 서초구 사평대로 205 파미에스테이션 2층 FP213호,https://pcmap.place.naver.com/restaurant/1281893938/review/visitor#
봉산옥 서초동본점,한식,서울 서초구 반포대로8길 5-6 1층 봉산옥,https://pcmap.place.naver.com/restaurant/11851001/review/visitor#
이자카야 열,이자카야,서울 서초구 강남대로 345 2층,https://pcmap.place.naver.com/restaurant/1891067989/review/visitor#
갈비세상 양재본점,"육류,고기요리",서울 서초구 남부순환로350길 17,https://pcmap.place.naver.com/restaurant/12981147/review/visitor#
놉스 서래마을점,"스테이크,립",서울 서초구 동광로 95-1 1층,https://pcmap.place.naver.com/restaurant/1571026521/review/visitor#
최고의 한우 명우,소고기구이,서울 서초구 나루터로 75 금산빌딩1층,https://pcmap.place.naver.com/restaurant/33585987/review/visitor#
신미경정통춘천닭갈비,닭갈비,서울 서초구 방배로16길 11-3,https://pcmap.place.naver.com/restaurant/20770023/review/visitor#
도셰프,이탈리아음식,서울 서초구 강남대로89길 14,https://pcmap.place.naver.com/restaurant/19594193/review/visitor#
서울붕어베이커리,베이커리,서울 서초구 강남대로61길 17 밀라텔 쉐르빌,https://pcmap.place.naver.com/restaurant/1984477255/review/visitor#
다리원,중식당,서울 서초구 효령로31길 6 1층 중식당,https://pcmap.place.naver.com/restaurant/20225689/review/visitor#
백화네부엌,요리주점,서울 서초구 바우뫼로41길 84 1층,https://pcmap.place.naver.com/restaurant/38709080/review/visitor#
백년옥,두부요리,서울 서초구 남부순환로 2407,https://pcmap.place.naver.com/restaurant/11678686/review/visitor#
딘타이펑 강남점,중식당,서울 서초구 서초대로73길 12 세계빌딩,https://pcmap.place.naver.com/restaurant/11845459/review/visitor#
세광양대창 교대본점,"곱창,막창,양","서울 서초구 반포대로28길 79 1, 2층",https://pcmap.place.naver.com/restaurant/1010064415/review/visitor#
정담이 깃든 사랑채,한식,서울 서초구 방배천로2길 7 2층 정담이 깃든 사랑채,https://pcmap.place.naver.com/restaurant/92093012/review/visitor#
정담은,한식,서울 서초구 방배천로2길 15 지하1층 정담은,https://pcmap.place.naver.com/restaurant/20054517/review/visitor#
무샤,이자카야,서울 서초구 서래로 33 1층,https://pcmap.place.naver.com/restaurant/13339617/review/visitor#
따롱이훠궈 강남점,중식당,서울 서초구 서초대로73길 9 2층,https://pcmap.place.naver.com/restaurant/1604806023/review/visitor#
토박이별당,"찌개,전골",서울 서초구 반포대로39길 47-3 서우빌딩,https://pcmap.place.naver.com/restaurant/20890179/review/visitor#
탐라도야지,"육류,고기요리",서울 서초구 서초대로50길 82 정원빌딩,https://pcmap.place.naver.com/restaurant/18364648/review/visitor#
