가게 이름,업종구분,주소,URL
마포차돌박이,"육류,고기요리",서울 서대문구 연세로9길 37 1층 101호,https://pcmap.place.naver.com/restaurant/1819776304/review/visitor#
데스툴 연희,"카페,디저트","서울 서대문구 연희로25길 98 서울 서대문구 연희로25길 98, 2층",https://pcmap.place.naver.com/restaurant/1304262793/review/visitor#
이석덕생면파스타 신촌점,이탈리아음식,서울 서대문구 명물길 16 2층 이석덕생면파스타,https://pcmap.place.naver.com/restaurant/1363106336/review/visitor#
한사발포차 신촌점,요리주점,서울 서대문구 연세로7안길 10-7 1층,https://pcmap.place.naver.com/restaurant/1337888553/review/visitor#
머노까머나 신촌점,인도음식,서울 서대문구 연세로11길 13 2층,https://pcmap.place.naver.com/restaurant/12791076/review/visitor#
스웨이커피스테이션,"카페,디저트",서울 서대문구 연희로11길 61,https://pcmap.place.naver.com/restaurant/1826959498/review/visitor#
정육면체 신촌점,아시아음식,서울 서대문구 연세로5다길 22-8 1층 정육면체,https://pcmap.place.naver.com/restaurant/1229208931/review/visitor#
작은스페인,스페인음식,서울 서대문구 연희로25길 37,https://pcmap.place.naver.com/restaurant/38738511/review/visitor#
아민 이화,양식,서울 서대문구 이화여대길 52-31,https://pcmap.place.naver.com/restaurant/37792625/review/visitor#
목란,중식당,서울 서대문구 연희로15길 21,https://pcmap.place.naver.com/restaurant/11880458/review/visitor#
연경 연희점,중식당,서울 서대문구 연희로 145,https://pcmap.place.naver.com/restaurant/1721729164/review/visitor#
이빠네마 그릴,"스테이크,립",서울 서대문구 연세로4길 6 2층,https://pcmap.place.naver.com/restaurant/37676600/review/visitor#
시오 연희동본점,일식당,서울 서대문구 연희로11가길 23 1층,https://pcmap.place.naver.com/restaurant/37687821/review/visitor#
몽주방 신촌점,요리주점,서울 서대문구 연세로7안길 10-4 지하1~1층 몽주방 신촌점,https://pcmap.place.naver.com/restaurant/1985698800/review/visitor#
만동제과 연남점,베이커리,서울 서대문구 연희로 32,https://pcmap.place.naver.com/restaurant/1038526987/review/visitor#
한술식당 신촌점,한식,서울 서대문구 연세로4길 40 1층,https://pcmap.place.naver.com/restaurant/1320893582/review/visitor#
설레임삼겹살 신촌점,돼지고기구이,서울 서대문구 연세로5가길 31 낙원빌딩,https://pcmap.place.naver.com/restaurant/31737840/review/visitor#
하남돼지집 서대문역점,돼지고기구이,서울 서대문구 충정로 71-1,https://pcmap.place.naver.com/restaurant/1160734386/review/visitor#
다대기실비 서대문역,생선회,서울 서대문구 영천시장길 56 B호 다대기실비,https://pcmap.place.naver.com/restaurant/1532315213/review/visitor#
아건 이대본점,인도음식,서울 서대문구 이화여대길 37 2층,https://pcmap.place.naver.com/restaurant/13155014/review/visitor#
파이홀,카페,서울 서대문구 연세로5나길 20,https://pcmap.place.naver.com/restaurant/21306384/review/visitor#
한옥집김치찜 본점,한식,서울 서대문구 통일로9길 12 1층 한옥집김치찜본점(서대문김치찜),https://pcmap.place.naver.com/restaurant/11593472/review/visitor#
뽁식당 신촌점,양식,서울 서대문구 연세로5나길 24 1층~4층,https://pcmap.place.naver.com/restaurant/1241958018/review/visitor#
초원파스타운,양식,서울 서대문구 통일로39나길 25 1층,https://pcmap.place.naver.com/restaurant/1988923504/review/visitor#
치즈웨이브,피자,"서울 서대문구 연세로7안길 34-6 1,2층 치즈웨이브",https://pcmap.place.naver.com/restaurant/1954881301/review/visitor#
화로상회 신촌점,고기뷔페,서울 서대문구 명물길 62 1층 화로상회,https://pcmap.place.naver.com/restaurant/1512062259/review/visitor#
라구식당,"스파게티,파스타전문",서울 서대문구 연세로 42-24 1층,https://pcmap.place.naver.com/restaurant/37049500/review/visitor#
강남불백 신촌점,"백반,가정식",서울 서대문구 연세로4길 6,https://pcmap.place.naver.com/restaurant/1292541602/review/visitor#
마우디,양식,서울 서대문구 연희로11길 18,https://pcmap.place.naver.com/restaurant/1287085178/review/visitor#
백순대본가새맛 신촌연대점,한식,서울 서대문구 연세로11길 12 1층,https://pcmap.place.naver.com/restaurant/1544979315/review/visitor#
담솥 신촌점,한식,서울 서대문구 연세로4길 1 지하1층,https://pcmap.place.naver.com/restaurant/1554115552/review/visitor#
쟁반집8292 신촌점,"육류,고기요리",서울 서대문구 연세로4길 27 1층,https://pcmap.place.naver.com/restaurant/1483304539/review/visitor#
수빈,한정식,서울 서대문구 연희로25길 31-3,https://pcmap.place.naver.com/restaurant/11679474/review/visitor#
산천마루,"백숙,삼계탕",서울 서대문구 세검정로1길 21,https://pcmap.place.naver.com/restaurant/34745133/review/visitor#
쿳사 연희,브런치,서울 서대문구 증가로 48,https://pcmap.place.naver.com/restaurant/1478636575/review/visitor#
칠백식당,소고기구이,서울 서대문구 통일로 149-1 2층,https://pcmap.place.naver.com/restaurant/35734979/review/visitor#
마이시크릿메이트,베이커리,서울 서대문구 연세로4길 47 1층,https://pcmap.place.naver.com/restaurant/13357149/review/visitor#
청안식탁,한식,서울 서대문구 충정로4길 21,https://pcmap.place.naver.com/restaurant/1840508801/review/visitor#
센트그릴,양식,서울 서대문구 연희로 89-3 지하 1층 센트그릴,https://pcmap.place.naver.com/restaurant/1272703650/review/visitor#
담산 신촌본점,한식,서울 서대문구 연세로5다길 5 1층 담산 신촌본점,https://pcmap.place.naver.com/restaurant/1765098518/review/visitor#
월순철판동태찜,"아귀찜,해물찜",서울 서대문구 연희맛로 17-14 1층,https://pcmap.place.naver.com/restaurant/13329483/review/visitor#
한술식당 명지대점,덮밥,서울 서대문구 명지대2길 2 1층,https://pcmap.place.naver.com/restaurant/1945558222/review/visitor#
비아37 신촌본점,이탈리아음식,서울 서대문구 이화여대길 77-1 비아37 신촌본점,https://pcmap.place.naver.com/restaurant/11853181/review/visitor#
녹원쌈밥 연희점,한식,서울 서대문구 연희로25길 22,https://pcmap.place.naver.com/restaurant/19899218/review/visitor#
오마카세 오사이초밥 신촌점,"초밥,롤",서울 서대문구 연세로5나길 10 4층,https://pcmap.place.naver.com/restaurant/1442263918/review/visitor#
금고기비스트로 신촌,"육류,고기요리",서울 서대문구 연세로5가길 13 1층,https://pcmap.place.naver.com/restaurant/1749849331/review/visitor#
키친봄날,김밥,서울 서대문구 신촌로11길 62 1층 키친봄날,https://pcmap.place.naver.com/restaurant/37578215/review/visitor#
평안도식당 신촌점,"순대,순댓국",서울 서대문구 연세로4길 12 1층,https://pcmap.place.naver.com/restaurant/1942369254/review/visitor#
포가레 신촌점,베트남음식,서울 서대문구 명물길 26 2층,https://pcmap.place.naver.com/restaurant/1014319726/review/visitor#
고래고래신촌점,생선회,서울 서대문구 연세로9길 25,https://pcmap.place.naver.com/restaurant/37275727/review/visitor#
혼신꼬치 신촌점,요리주점,서울 서대문구 연세로7안길 1 1층,https://pcmap.place.naver.com/restaurant/1451301883/review/visitor#
수지상회 신촌점,요리주점,서울 서대문구 연세로7길 13 2층,https://pcmap.place.naver.com/restaurant/1723589238/review/visitor#
돈불1971,돼지고기구이,서울 서대문구 연세로5다길 36 돈불1971,https://pcmap.place.naver.com/restaurant/36343564/review/visitor#
끝집 가재울본점,요리주점,서울 서대문구 가재울미래로 2 201동 108호,https://pcmap.place.naver.com/restaurant/1294402489/review/visitor#
유우 연희동본점,일식당,서울 서대문구 연희로26길 23 1층 유우,https://pcmap.place.naver.com/restaurant/33704447/review/visitor#
신촌고기창고,"육류,고기요리",서울 서대문구 연세로7길 34-4,https://pcmap.place.naver.com/restaurant/11590700/review/visitor#
다방방,"카페,디저트",서울 서대문구 이화여대길 88-13 1층 101호,https://pcmap.place.naver.com/restaurant/1069754020/review/visitor#
카라멘야,일본식라면,서울 서대문구 연세로7안길 34-1 1층,https://pcmap.place.naver.com/restaurant/1767701213/review/visitor#
타코몽,일식당,서울 서대문구 신촌로 49,https://pcmap.place.naver.com/restaurant/30824321/review/visitor#
가마마루이라멘,일본식라면,서울 서대문구 성산로22길 4 창천빌딩 1층 가마마루이,https://pcmap.place.naver.com/restaurant/20123242/review/visitor#
당나발포차 신촌점,요리주점,서울 서대문구 연세로7길 13 1층,https://pcmap.place.naver.com/restaurant/1128892039/review/visitor#
가야가야,일본식라면,서울 서대문구 이화여대5길 7-3,https://pcmap.place.naver.com/restaurant/13507856/review/visitor#
복성각,중식당,서울 서대문구 명물1길 24,https://pcmap.place.naver.com/restaurant/35624223/review/visitor#
마더린러 베이글,베이글,서울 서대문구 이화여대5길 5 지상 1층,https://pcmap.place.naver.com/restaurant/37637684/review/visitor#
오르랔베이커리,베이커리,서울 서대문구 신촌로 241,https://pcmap.place.naver.com/restaurant/1513933475/review/visitor#
피터팬1978,베이커리,서울 서대문구 증가로 10,https://pcmap.place.naver.com/restaurant/13413865/review/visitor#
푸어링아웃,"카페,디저트",서울 서대문구 연희로11나길 7-7 반지층 카페 (푸어링아웃),https://pcmap.place.naver.com/restaurant/36543730/review/visitor#
봉일천 장군집,돼지고기구이,서울 서대문구 응암로 141,https://pcmap.place.naver.com/restaurant/13435774/review/visitor#
다이닝후,퓨전음식,서울 서대문구 충정로 43-1,https://pcmap.place.naver.com/restaurant/1073349819/review/visitor#
카츠업,돈가스,서울 서대문구 연세로5길 32 1층 카츠업,https://pcmap.place.naver.com/restaurant/1970674029/review/visitor#
시트플레이스,카페,서울 서대문구 연세로11길 40 1층,https://pcmap.place.naver.com/restaurant/1230300987/review/visitor#
오향만두,중식당,서울 서대문구 연희맛로 22 삼원빌딩,https://pcmap.place.naver.com/restaurant/32875867/review/visitor#
포티드,"카페,디저트",서울 서대문구 명물길 36-3 1층,https://pcmap.place.naver.com/restaurant/1946991741/review/visitor#
처음본명품민물장어 홍제점,"장어,먹장어요리",서울 서대문구 통일로 412 1층,https://pcmap.place.naver.com/restaurant/1168730966/review/visitor#
고삼이 신촌점,한식,서울 서대문구 연세로7안길 38 고삼이,https://pcmap.place.naver.com/restaurant/20601663/review/visitor#
티앙팡 오후의 홍차,카페,서울 서대문구 이화여대길 34 2층,https://pcmap.place.naver.com/restaurant/11570104/review/visitor#
목구멍 신촌점,"육류,고기요리",서울 서대문구 연세로11길 35 1층,https://pcmap.place.naver.com/restaurant/1682499258/review/visitor#
에노테카오토,이탈리아음식,서울 서대문구 연희맛로 17-18,https://pcmap.place.naver.com/restaurant/36410880/review/visitor#
하늘초밥,"초밥,롤",서울 서대문구 이화여대2길 14 1층 하늘초밥,https://pcmap.place.naver.com/restaurant/1960457705/review/visitor#
스페샬나잇트 본점,이자카야,"서울 서대문구 연세로5나길 8 1층, 2층 스페샬나잇트 본점",https://pcmap.place.naver.com/restaurant/1062910338/review/visitor#
프로토콜 연희점,"카페,디저트",서울 서대문구 연희로 109 2층,https://pcmap.place.naver.com/restaurant/1032580297/review/visitor#
연희동 라이라이 본점,중식당,서울 서대문구 연희로15길 27 라이라이 1층,https://pcmap.place.naver.com/restaurant/1588882724/review/visitor#
현명식탁,양식,"서울 서대문구 명물길 32 준성빌딩 5층, 서울(신촌) 서대문구 명물길 32, 5층 (창천동, 준성빌딩) 현명식탁예약 및 문의번호: 02-2088-1229주차(유료)1시간당",https://pcmap.place.naver.com/restaurant/1649477961/review/visitor#
미분당 신촌본점,베트남음식,서울 서대문구 연세로5길 26-7 1층 미분당 신촌본점,https://pcmap.place.naver.com/restaurant/38301992/review/visitor#
시누아즈,아시아음식,서울 서대문구 연희로 32-1 2층,https://pcmap.place.naver.com/restaurant/1272636641/review/visitor#
