가게 이름,업종구분,주소,URL
광명대창집 성신여대점,"곱창,막창,양",서울 성북구 보문로30길 36 1층,https://pcmap.place.naver.com/restaurant/1283221697/review/visitor#
비양도 본점,일식당,서울 성북구 성북로 158 1층,https://pcmap.place.naver.com/restaurant/31107926/review/visitor#
남해바다마차,생선회,서울 성북구 한천로78길 71 2층 남해바다마차,https://pcmap.place.naver.com/restaurant/34129983/review/visitor#
온오프 성신여대점,"맥주,호프",서울 성북구 동소문로22길 56-1 1층 ON OFF,https://pcmap.place.naver.com/restaurant/1567726493/review/visitor#
팔백집 성신여대본점,돼지고기구이,서울 성북구 보문로30길 46 1층,https://pcmap.place.naver.com/restaurant/102119591/review/visitor#
수아당,김밥,서울 성북구 동소문로20가길 33,https://pcmap.place.naver.com/restaurant/1191942837/review/visitor#
김태완스시 성신여대점,"초밥,롤",서울 성북구 동소문로20길 32 1층,https://pcmap.place.naver.com/restaurant/21816603/review/visitor#
광명수산,생선회,서울 성북구 동소문로 125 골든타워,https://pcmap.place.naver.com/restaurant/32093923/review/visitor#
경성고기꾼 성신여대점,소고기구이,서울 성북구 동소문로20길 28-10 1층,https://pcmap.place.naver.com/restaurant/1630126329/review/visitor#
김통,돼지고기구이,서울 성북구 동소문로 124,https://pcmap.place.naver.com/restaurant/36516720/review/visitor#
문화식당,양식,"서울 성북구 혜화로 88 2층, 3층",https://pcmap.place.naver.com/restaurant/1723949279/review/visitor#
영순관,중식당,서울 성북구 지봉로24길 19,https://pcmap.place.naver.com/restaurant/1075760962/review/visitor#
나폴레옹과자점 본점,베이커리,서울 성북구 성북로 7 나폴레옹과자점,https://pcmap.place.naver.com/restaurant/11627707/review/visitor#
별관 성신여대,양식,서울 성북구 동소문로24길 31 지하1층,https://pcmap.place.naver.com/restaurant/1137457944/review/visitor#
플랜터247,"카페,디저트",서울 성북구 보문로34가길 1 1층 PLANTER247,https://pcmap.place.naver.com/restaurant/1358156843/review/visitor#
멘지 성신여대점,일본식라면,서울 성북구 동소문로22길 23 2층,https://pcmap.place.naver.com/restaurant/1243300454/review/visitor#
해탄 미아사거리점,한식,서울 성북구 도봉로 29 2층,https://pcmap.place.naver.com/restaurant/1749690177/review/visitor#
애정마라샹궈,중식당,서울 성북구 동소문로20나길 11 2층,https://pcmap.place.naver.com/restaurant/35394856/review/visitor#
자연에서왔소 본점,소고기구이,서울 성북구 성북로 36,https://pcmap.place.naver.com/restaurant/18893082/review/visitor#
커피명가 안암점,카페,서울 성북구 안암로5길 40,https://pcmap.place.naver.com/restaurant/36297984/review/visitor#
한술식당 길음본점,덮밥,서울 성북구 삼양로 15-2 1층,https://pcmap.place.naver.com/restaurant/1185891255/review/visitor#
양슐랭 성신여대점,"육류,고기요리",서울 성북구 보문로 149 1층 양슐랭,https://pcmap.place.naver.com/restaurant/1326275180/review/visitor#
일번지정육식당 돌곶이점,정육식당,서울 성북구 화랑로 254 대성프라자 1층,https://pcmap.place.naver.com/restaurant/35114022/review/visitor#
뮈에,카페,서울 성북구 돌곶이로 205 1층,https://pcmap.place.naver.com/restaurant/1191943177/review/visitor#
르부아,프랑스음식,서울 성북구 고려대로7길 56-18 1층 102호,https://pcmap.place.naver.com/restaurant/1127439540/review/visitor#
르한스,양식,서울 성북구 정릉로10길 127,https://pcmap.place.naver.com/restaurant/20517806/review/visitor#
밀곳간,베이커리,서울 성북구 성북로18길 19 1층,https://pcmap.place.naver.com/restaurant/745830361/review/visitor#
유메오뎅 성신여대,요리주점,서울 성북구 동소문로20길 37-14 지상1층,https://pcmap.place.naver.com/restaurant/1276071704/review/visitor#
동경산책 성신여대점,일식당,서울 성북구 보문로34길 45,https://pcmap.place.naver.com/restaurant/1383041234/review/visitor#
꿀단지 성신여대점,"족발,보쌈",서울 성북구 동소문로20나길 24 1층 꿀단지,https://pcmap.place.naver.com/restaurant/32587690/review/visitor#
샤브온당 성신여대본점,샤브샤브,서울 성북구 보문로34길 77 1층,https://pcmap.place.naver.com/restaurant/1019313453/review/visitor#
공푸,중식당,서울 성북구 삼선교로24길 29,https://pcmap.place.naver.com/restaurant/35168517/review/visitor#
뿡어당 성신여대점,"카페,디저트",서울 성북구 보문로34길 94 102호,https://pcmap.place.naver.com/restaurant/1476884811/review/visitor#
연리지,요리주점,서울 성북구 동소문로20다길 11 2층 연리지,https://pcmap.place.naver.com/restaurant/1658039265/review/visitor#
금뚜껑,"육류,고기요리",서울 성북구 동소문로22길 64 1층,https://pcmap.place.naver.com/restaurant/1282435530/review/visitor#
고석환손만두전골,"칼국수,만두",서울 성북구 성북로2길 55 우리빌딩 1층,https://pcmap.place.naver.com/restaurant/640619959/review/visitor#
창창서울,중식당,"서울 성북구 동소문로24가길 16 1, 2층",https://pcmap.place.naver.com/restaurant/1957113767/review/visitor#
팔백집,돼지고기구이,서울 성북구 고려대로27길 3 1층,https://pcmap.place.naver.com/restaurant/1221206032/review/visitor#
서울노마드,"카페,디저트",서울 성북구 동소문로11길 5,https://pcmap.place.naver.com/restaurant/1926096966/review/visitor#
떡고물즉석떡볶이전문점한성대점,떡볶이,서울 성북구 삼선교로10길 33 2층,https://pcmap.place.naver.com/restaurant/20901194/review/visitor#
두껍다회선생,생선회,서울 성북구 성북로 24 1층 대로변,https://pcmap.place.naver.com/restaurant/1418425214/review/visitor#
백소정 하월곡점,일식당,서울 성북구 화랑로11길 11-3,https://pcmap.place.naver.com/restaurant/1763174320/review/visitor#
선류도,일식당,서울 성북구 삼선교로 31 지상 1층,https://pcmap.place.naver.com/restaurant/1431301572/review/visitor#
멘야하나비 성신여대점,일본식라면,서울 성북구 동소문로22길 39-5 2층,https://pcmap.place.naver.com/restaurant/1289449917/review/visitor#
츠루츠루 마제소바,일본식라면,서울 성북구 삼선교로24길 41 1층,https://pcmap.place.naver.com/restaurant/1603072773/review/visitor#
우정초밥,"초밥,롤",서울 성북구 종암로3길 31 1층,https://pcmap.place.naver.com/restaurant/1156260886/review/visitor#
벤베누토,이탈리아음식,서울 성북구 동소문로20나길 39 DH네상스호텔 2층,https://pcmap.place.naver.com/restaurant/1792268055/review/visitor#
liike coffee,카페,서울 성북구 보문로34가길 24 1층 리이케 커피,https://pcmap.place.naver.com/restaurant/1082798279/review/visitor#
