가게 이름,업종구분,주소,URL
브리비트 성수동 연무장길카페거리,"스파게티,파스타전문",서울 성동구 상원6길 5-1 1층,https://pcmap.place.naver.com/restaurant/1938980634/review/visitor#
레츠잇치킨 성수,"치킨,닭강정",서울 성동구 왕십리로4길 12 1층,https://pcmap.place.naver.com/restaurant/1069616349/review/visitor#
만두전빵,만두,서울 성동구 행당로15길 2-1 만두전빵,https://pcmap.place.naver.com/restaurant/21900266/review/visitor#
봄의정원 성수점,양식,서울 성동구 연무장길 81 지하 봄의정원,https://pcmap.place.naver.com/restaurant/1502355065/review/visitor#
성수로운,양식,서울 성동구 아차산로7길 28 1층,https://pcmap.place.naver.com/restaurant/1444299382/review/visitor#
굴과찜사랑 본점,"해물,생선요리",서울 성동구 행당로17길 23,https://pcmap.place.naver.com/restaurant/18775943/review/visitor#
성수다락 성수동 연무장길성수역카페거리,"스파게티,파스타전문",서울 성동구 뚝섬로9길 20 2층,https://pcmap.place.naver.com/restaurant/1241532707/review/visitor#
아키야마,이자카야,서울 성동구 아차산로7나길 18 성수에이팩센터 1층 106호,https://pcmap.place.naver.com/restaurant/37748060/review/visitor#
온량,양식,서울 성동구 서울숲4길 26-10 1층,https://pcmap.place.naver.com/restaurant/1584576344/review/visitor#
오레노카츠 성수본점,돈가스,서울 성동구 성수일로 47 102호,https://pcmap.place.naver.com/restaurant/1380430757/review/visitor#
꾸아 성수점,베트남음식,서울 성동구 왕십리로 94-2 2층,https://pcmap.place.naver.com/restaurant/1846605156/review/visitor#
중앙감속기,퓨전음식,서울 성동구 성수일로6길 7-1 1층 중앙감속기,https://pcmap.place.naver.com/restaurant/20937806/review/visitor#
문츠 바베큐,양식,서울 성동구 상원1길 22 1층 101호 문츠바베큐,https://pcmap.place.naver.com/restaurant/1412144544/review/visitor#
디핀옥수,양식,서울 성동구 독서당로 194 지하1층,https://pcmap.place.naver.com/restaurant/1690484049/review/visitor#
평이담백뼈칼국수 성수점,"칼국수,만두",서울 성동구 상원10길 10 1층,https://pcmap.place.naver.com/restaurant/1159014905/review/visitor#
카모메 한양대점,오니기리,서울 성동구 마조로 17 1층 4호,https://pcmap.place.naver.com/restaurant/13496755/review/visitor#
윕 성수,요리주점,서울 성동구 광나루로4가길 5 1층,https://pcmap.place.naver.com/restaurant/1104075584/review/visitor#
하남돼지집 왕십리역점,돼지고기구이,서울 성동구 왕십리로 311-1,https://pcmap.place.naver.com/restaurant/38415326/review/visitor#
타이거풀,양식,서울 성동구 성수이로7가길 7 타이거풀,https://pcmap.place.naver.com/restaurant/1756088868/review/visitor#
은성보쌈,"족발,보쌈",서울 성동구 독서당로 297-6,https://pcmap.place.naver.com/restaurant/13005867/review/visitor#
소와나 성수점,"육류,고기요리",서울 성동구 서울숲2길 2 지1층,https://pcmap.place.naver.com/restaurant/1097125310/review/visitor#
베르그 서울숲,"카페,디저트",서울 성동구 서울숲4길 26 1층,https://pcmap.place.naver.com/restaurant/1905586952/review/visitor#
수랑화,한식,"서울 성동구 독서당로 198 1층, 2층",https://pcmap.place.naver.com/restaurant/1803896930/review/visitor#
고집132 성수본점,"육류,고기요리",서울 성동구 왕십리로8길 5 대영빌딩 1층,https://pcmap.place.naver.com/restaurant/1902597245/review/visitor#
베통 성수 플래그십,"카페,디저트",서울 성동구 연무장7가길 8 베통 성수,https://pcmap.place.naver.com/restaurant/365858525/review/visitor#
소문난성수감자탕,감자탕,서울 성동구 연무장길 45,https://pcmap.place.naver.com/restaurant/11721256/review/visitor#
터틀힙 성수,"카페,디저트",서울 성동구 왕십리로14길 23 1층,https://pcmap.place.naver.com/restaurant/1559904682/review/visitor#
bd버거 성수동 연무장길성수역카페거리,햄버거,서울 성동구 성수이로14길 7 2층 bd버거 성수동 연무장길성수역카페거리,https://pcmap.place.naver.com/restaurant/1026594418/review/visitor#
미테이블 성수본점,양식,서울 성동구 왕십리로8길 5 대영빌딩,https://pcmap.place.naver.com/restaurant/38590315/review/visitor#
이우다이닝,"육류,고기요리",서울 성동구 성수일로 57 2층,https://pcmap.place.naver.com/restaurant/1644471541/review/visitor#
난포,한식,서울 성동구 서울숲4길 18-8 지층,https://pcmap.place.naver.com/restaurant/1910927846/review/visitor#
OilFriedZip,"카페,디저트",서울 성동구 연무장길 41-18 1층,https://pcmap.place.naver.com/restaurant/1576898918/review/visitor#
기후,일식당,서울 성동구 성수이로 66 서울숲드림타워 1층 106호 기후,https://pcmap.place.naver.com/restaurant/1742512433/review/visitor#
유어네이키드치즈,와인,서울 성동구 왕십리로10길 6 1층,https://pcmap.place.naver.com/restaurant/1310778628/review/visitor#
위풍당당족발,"족발,보쌈",서울 성동구 성수일로8길 53 성수동복합시설,https://pcmap.place.naver.com/restaurant/36999376/review/visitor#
왕십리맛나곱창,"곱창,막창,양",서울 성동구 고산자로 281-1,https://pcmap.place.naver.com/restaurant/11619623/review/visitor#
봄의정원 왕십리점,양식,서울 성동구 마조로7길 13 지층 봄의정원 왕십리점,https://pcmap.place.naver.com/restaurant/1802840257/review/visitor#
기러기둥지 성수,양식,서울 성동구 연무장길 38 2층 기러기둥지 성수,https://pcmap.place.naver.com/restaurant/1067843337/review/visitor#
이리데센트,"카페,디저트",서울 성동구 서울숲4길 20-1 1층,https://pcmap.place.naver.com/restaurant/1211465517/review/visitor#
제스티살룬 성수,햄버거,서울 성동구 서울숲4길 13 1층 제스티살룬,https://pcmap.place.naver.com/restaurant/1172915589/review/visitor#
PEEPS,양식,서울 성동구 서울숲4길 16-25 1층 PEEPS,https://pcmap.place.naver.com/restaurant/1913545390/review/visitor#
양평회관 왕십리본점,"육류,고기요리",서울 성동구 마조로7길 16 본점,https://pcmap.place.naver.com/restaurant/1673447918/review/visitor#
