가게 이름,업종구분,주소,URL
크래버대게나라 잠실점,게요리,서울 송파구 위례성대로 92 1층,https://pcmap.place.naver.com/restaurant/18531575/review/visitor#
갯벌의 조개 잠실새내점,조개요리,서울 송파구 백제고분로7길 57 1층 102호,https://pcmap.place.naver.com/restaurant/1957573849/review/visitor#
프라자손칼국수,"칼국수,만두",서울 송파구 동남로18길 40 프라자아파트,https://pcmap.place.naver.com/restaurant/20637033/review/visitor#
일월고기,"육류,고기요리",서울 송파구 오금로15길 7-16,https://pcmap.place.naver.com/restaurant/945953846/review/visitor#
요리하는남자,이탈리아음식,서울 송파구 백제고분로7길 27 반석빌딩 지하1층,https://pcmap.place.naver.com/restaurant/35051350/review/visitor#
키친205 롯데월드몰점,"카페,디저트",서울 송파구 올림픽로 300 롯데월드몰 지하1층,https://pcmap.place.naver.com/restaurant/1159180795/review/visitor#
팻어케이크,"카페,디저트",서울 송파구 백제고분로45길 9 2층,https://pcmap.place.naver.com/restaurant/1540091901/review/visitor#
신천돼지 잠실본점,돼지고기구이,서울 송파구 백제고분로9길 24 1층,https://pcmap.place.naver.com/restaurant/36886211/review/visitor#
부농정육식당,"육류,고기요리",서울 송파구 백제고분로28길 29 1층 부농정육식당,https://pcmap.place.naver.com/restaurant/37532299/review/visitor#
래빗캐슬,양식,서울 송파구 백제고분로7길 52-29 1층,https://pcmap.place.naver.com/restaurant/1513288596/review/visitor#
씨엘트리,"카페,디저트",서울 송파구 백제고분로45길 17-3 4층,https://pcmap.place.naver.com/restaurant/1997992248/review/visitor#
모미지 잠실방이점,이자카야,서울 송파구 오금로13길 9 2층,https://pcmap.place.naver.com/restaurant/1554718429/review/visitor#
개나리아구찜 본점,한식,서울 송파구 오금로15길 7-8 1층,https://pcmap.place.naver.com/restaurant/1505588868/review/visitor#
밸런티 송파 본점,"카페,디저트",서울 송파구 가락로11길 19 1층 밸런티 본점,https://pcmap.place.naver.com/restaurant/968875804/review/visitor#
크래프트아일랜드 잠실점,"맥주,호프","서울 송파구 올림픽로35가길 10 더샵스타파크상가 114호, 115호, 119호",https://pcmap.place.naver.com/restaurant/1478103368/review/visitor#
잠실장어와 한우,"장어,먹장어요리",서울 송파구 백제고분로7길 46 지하1층,https://pcmap.place.naver.com/restaurant/13158918/review/visitor#
진지아,중식당,"서울 송파구 백제고분로41길 12-9 1층, 2층",https://pcmap.place.naver.com/restaurant/1214154710/review/visitor#
비채나,한식,서울 송파구 올림픽로 300 롯데월드타워 81층,https://pcmap.place.naver.com/restaurant/31076200/review/visitor#
피자네버슬립스 송리단길점,피자,서울 송파구 백제고분로45길 6 지층,https://pcmap.place.naver.com/restaurant/1708493630/review/visitor#
아리산,중식당,서울 송파구 송파대로27길 30 태림빌딩 1층 아리산,https://pcmap.place.naver.com/restaurant/1258323400/review/visitor#
차만다,양식,서울 송파구 오금로16길 4-15 반도빌딩 1층,https://pcmap.place.naver.com/restaurant/1012582293/review/visitor#
간코 롯데월드몰점,돈가스,서울 송파구 올림픽로 300 지하1층 3355,https://pcmap.place.naver.com/restaurant/1627625590/review/visitor#
천상애장어가 가락본점,"장어,먹장어요리",서울 송파구 중대로 174 1층,https://pcmap.place.naver.com/restaurant/32107106/review/visitor#
도몽 잠실새내 본점,"육류,고기요리",서울 송파구 백제고분로7길 28 2층,https://pcmap.place.naver.com/restaurant/1833255935/review/visitor#
만옥 롯데월드몰점,중식당,서울 송파구 올림픽로 300 롯데월드몰 지하1층,https://pcmap.place.naver.com/restaurant/1584016812/review/visitor#
숯불성화,"육류,고기요리",서울 송파구 송파대로48길 17 1층,https://pcmap.place.naver.com/restaurant/1869950526/review/visitor#
별미곱창,"곱창,막창,양",서울 송파구 오금로11길 11 1층,https://pcmap.place.naver.com/restaurant/1078123754/review/visitor#
갓잇 송리단길점,"멕시코,남미음식","서울 송파구 오금로16길 20 1, 2F GODEAT",https://pcmap.place.naver.com/restaurant/1246280409/review/visitor#
각광 잠실본점,요리주점,서울 송파구 올림픽로32길 42 1층,https://pcmap.place.naver.com/restaurant/1288004371/review/visitor#
가락시장 싱싱해수산,생선회,서울 송파구 양재대로 932 가락몰 1층 b13호,https://pcmap.place.naver.com/restaurant/1132028545/review/visitor#
르빵 송파점,베이커리,서울 송파구 백제고분로41길 12 향나무빌딩,https://pcmap.place.naver.com/restaurant/30889786/review/visitor#
한성백제얼큰샤브칼국수 올림픽공원본점,"칼국수,만두",서울 송파구 위례성대로18길 12,https://pcmap.place.naver.com/restaurant/1222421897/review/visitor#
수작나베 석촌점,아시아음식,서울 송파구 석촌호수로 234 1층,https://pcmap.place.naver.com/restaurant/1872106859/review/visitor#
VGG,"카페,디저트",서울 송파구 석촌호수로 290 3층,https://pcmap.place.naver.com/restaurant/1138672724/review/visitor#
바이킹스워프 롯데월드몰점,바닷가재요리,서울 송파구 올림픽로 300 롯데월드몰 4층,https://pcmap.place.naver.com/restaurant/35823506/review/visitor#
배키욘방,일식당,서울 송파구 올림픽로32길 22-23 1층,https://pcmap.place.naver.com/restaurant/1068089308/review/visitor#
함경도찹쌀순대,"순대,순댓국",서울 송파구 송파대로28길 32,https://pcmap.place.naver.com/restaurant/21037816/review/visitor#
홈수끼,샤브샤브,서울 송파구 위례성대로 134 한스빌딩,https://pcmap.place.naver.com/restaurant/11711239/review/visitor#
완도산회포장마차 송파직영점,생선회,서울 송파구 백제고분로41길 10 다산빌딩,https://pcmap.place.naver.com/restaurant/20264250/review/visitor#
치즈룸&테이스팅룸 롯데월드몰점,이탈리아음식,서울 송파구 올림픽로 300 롯데월드몰 5층,https://pcmap.place.naver.com/restaurant/36714351/review/visitor#
어부바,생선회,서울 송파구 백제고분로7길 52-24 103호,https://pcmap.place.naver.com/restaurant/1310838857/review/visitor#
육화식당,돼지고기구이,서울 송파구 올림픽로32길 29,https://pcmap.place.naver.com/restaurant/1126238702/review/visitor#
청와옥 석촌호수직영점,"순대,순댓국",서울 송파구 삼학사로 96,https://pcmap.place.naver.com/restaurant/1062855533/review/visitor#
