가게 이름,업종구분,주소,URL
온리원갈비 영등포 본점,"육류,고기요리",서울 영등포구 영등포로 33 115호,https://pcmap.place.naver.com/restaurant/31383625/review/visitor#
고방채 국회의사당역2호점,한식,서울 영등포구 국회대로 800 여의도파라곤 1층 113호,https://pcmap.place.naver.com/restaurant/1301313289/review/visitor#
25센치 꼬치앤오뎅바 영등포직영점,요리주점,서울 영등포구 영중로4길 25-1 1층,https://pcmap.place.naver.com/restaurant/1822941775/review/visitor#
진진만두 국회점,"칼국수,만두",서울 영등포구 국회대로72길 11 프린스텔,https://pcmap.place.naver.com/restaurant/19896117/review/visitor#
이타마에,이자카야,서울 영등포구 의사당대로 108 아일렉스빌딩 5층,https://pcmap.place.naver.com/restaurant/13391329/review/visitor#
소울한우 여의도샛강역점,"육류,고기요리",서울 영등포구 여의대방로67길 9 지하1층 001~007호,https://pcmap.place.naver.com/restaurant/1574437928/review/visitor#
양키스 버거앤피자,햄버거,서울 영등포구 도림로 434-1 1층 양키스피자,https://pcmap.place.naver.com/restaurant/99465898/review/visitor#
오목집 당산점,"족발,보쌈",서울 영등포구 당산로47길 14 2층,https://pcmap.place.naver.com/restaurant/1541799315/review/visitor#
갈빗,"육류,고기요리",서울 영등포구 도림로125길 14,https://pcmap.place.naver.com/restaurant/1600748627/review/visitor#
당산오돌 본점,"육류,고기요리",서울 영등포구 국회대로37길 6 1층,https://pcmap.place.naver.com/restaurant/33525490/review/visitor#
미도인 파이낸스여의도,양식,"서울 영등포구 국제금융로2길 32 파이낸스타워 2층 202, 203호",https://pcmap.place.naver.com/restaurant/1891132344/review/visitor#
신차이 타임스퀘어점,중식당,서울 영등포구 영중로 15 타임스퀘어 4층 신차이,https://pcmap.place.naver.com/restaurant/1170118399/review/visitor#
세상의모든아침,브런치,서울 영등포구 여의대로 24 FKI타워 50층,https://pcmap.place.naver.com/restaurant/37392371/review/visitor#
두툼한숯불생고기,돼지고기구이,서울 영등포구 영등포로42길 6-2 두툼한숯불생고기,https://pcmap.place.naver.com/restaurant/37157608/review/visitor#
쉐프조  문래본점,베이커리,"서울 영등포구 문래로 98 한영빌딩 104호,105호,106호",https://pcmap.place.naver.com/restaurant/32873364/review/visitor#
더스크블루,"카페,디저트",서울 영등포구 당산로38길 10 2층,https://pcmap.place.naver.com/restaurant/1003828439/review/visitor#
소고기땡기는날 값진식육,"육류,고기요리",서울 영등포구 선유로 58-4 대성빌딩 1층 값진식육,https://pcmap.place.naver.com/restaurant/31806507/review/visitor#
맨홀커피웨스턴책방,"카페,디저트",서울 영등포구 영등포로27길 24 맨홀커피 웨스턴 책방 1층,https://pcmap.place.naver.com/restaurant/1471240461/review/visitor#
르포르테,양식,서울 영등포구 양평로 68 DN빌딩 12층,https://pcmap.place.naver.com/restaurant/1312196992/review/visitor#
