가게 이름,업종구분,주소,URL
오마카세오사이초밥 용산용리단길점,"초밥,롤",서울 용산구 한강대로62길 45-11 3층,https://pcmap.place.naver.com/restaurant/1815202489/review/visitor#
그랜드하얏트서울 테라스,뷔페,서울 용산구 소월로 322 그랜드 하얏트 서울 호텔,https://pcmap.place.naver.com/restaurant/11678781/review/visitor#
메종 루블랑 용산본점,프랑스음식,서울 용산구 한강대로15길 19-22 1층,https://pcmap.place.naver.com/restaurant/34250671/review/visitor#
한남 북엇국,한식,서울 용산구 독서당로 65-7,https://pcmap.place.naver.com/restaurant/31139796/review/visitor#
동남방앗간 한남점,와인,서울 용산구 유엔빌리지길 20 지하1층,https://pcmap.place.naver.com/restaurant/1938018806/review/visitor#
삼각지 주식,요리주점,서울 용산구 한강대로52길 17-3 지하 1층,https://pcmap.place.naver.com/restaurant/1033173704/review/visitor#
에피세리꼴라주,양식,서울 용산구 한남대로20길 47-24 1층replace 한남 D동 1층,https://pcmap.place.naver.com/restaurant/35507072/review/visitor#
원효굴찜,굴요리,서울 용산구 원효로 143,https://pcmap.place.naver.com/restaurant/1657753878/review/visitor#
오스테리아 오르조,양식,서울 용산구 한남대로20길 47,https://pcmap.place.naver.com/restaurant/1229610281/review/visitor#
르몽블랑,"카페,디저트",서울 용산구 신흥로 99-4 1층,https://pcmap.place.naver.com/restaurant/1193666985/review/visitor#
팟카파우,태국음식,서울 용산구 신흥로 97-6 신흥시장안 2층,https://pcmap.place.naver.com/restaurant/1518165166/review/visitor#
물고기주택,생선회,서울 용산구 한강대로48길 19,https://pcmap.place.naver.com/restaurant/1344013517/review/visitor#
이촌가온,한식,서울 용산구 이촌로64길 34 1층 이촌가온,https://pcmap.place.naver.com/restaurant/1291373799/review/visitor#
느루 용산점,양식,서울 용산구 한강대로 126-2 1층,https://pcmap.place.naver.com/restaurant/1182644381/review/visitor#
델리카트슨 한남,양식,서울 용산구 이태원로 231 지하1층 델리카트슨한남,https://pcmap.place.naver.com/restaurant/1151358432/review/visitor#
면마루,한식,서울 용산구 신흥로 86,https://pcmap.place.naver.com/restaurant/31729324/review/visitor#
마제스키야키,샤브샤브,서울 용산구 한강대로40길 9-5 1층,https://pcmap.place.naver.com/restaurant/1222403054/review/visitor#
몽탄,"육류,고기요리",서울 용산구 백범로99길 50,https://pcmap.place.naver.com/restaurant/1810277002/review/visitor#
